"label","title","author","journal","volume","number","pages","year","doi","abstract","n_duplicates","AbstractID","screener initials","include or exclude (note: exclude only if the abstract is unrelated to our topic, if you are unsure mark as include)","ecological scale (e.g. interspecific or intraspecific)","topic area (e.g. predator-prey, parasite-host, male-female, theoretical/modelling, review)"
"Perrot.Minnot2002808","Contrasting effects of Wolbachia on cytoplasmic incompatibility and fecundity in the haplodiploid mite Tetranychus urticae","Perrot-Minnot, M.-J. and Cheval, B. and Migeon, A. and Navajas, M.","Journal of Evolutionary Biology",15,"5","808-817",2002,"10.1046/j.1420-9101.2002.00446.x","Recent studies on Wolbachia-induced incompatibility in haplodiploid insects and mites have revealed a diversity of cytoplasmic incompatibility (CI) patterns among host species. Here, we report intraspecific diversity in CI expression among four strains of the arrhenotokous mite Tetranychus urticae and in T. turkestani. Variability of CI expression within T. urticae ranged from no CI to complete CI, and included either female embryonic mortality or male conversion types of CI. A fecundity cost attributed to the infection with the high-CI Wolbachia strain was the highest ever recorded for Wolbachia (-80 to -100% decrease). Sequence polymorphism at a 550-bp-portion of Wolbachia wsp gene revealed two clusters distant by 21%, one of which included three Wolbachia strains infecting mite populations sampled from the same host-plant species, but showing distinct CI patterns. These data are discussed in the light of theoretical predictions on the evolutionary pathways followed in this symbiotic interaction.",2,"MA74","","","",""
"Riehl2018","Stable social relationships between unrelated females increase individual fitness in a cooperative bird","Riehl, C. and Strong, M.J.","Proceedings of the Royal Society B: Biological Sciences",285,"1876",NA,2018,"10.1098/rspb.2018.0130","Social animals often form long-lasting relationships with fellow group members, usually with close kin. In primates, strong social bonds have been associated with increased longevity, offspring survival and reproductive success. However, little is known about the fitness effects of social bonds between non-kin, especially outside of mammals. In this study, we use long-term field research on a cooperatively breeding bird, the greater ani (Crotophaga major), to ask whether adult females benefit by remaining in long-term associations with unrelated, co-breeding females. We find that females that have previously nested together synchronize their reproduction more rapidly than those nesting with unfamiliar partners, which leads to lower competition and higher fledging success. Importantly, although previous experience with a co-breeding female influenced reproductive synchrony, the degree of reproductive synchrony did not influence whether co-breeding females remained together in subsequent years, ruling out the alternate hypothesis that highly synchronized females are simply more likely to remain together. These results indicate that switching groups is costly to females, and that social familiarity improves reproductive coordination. Stable social relationships therefore have significant fitness consequences for cooperatively nesting female birds, suggesting that direct benefits alone may favour the evolution of associations between non-relatives and contribute to long-term group stability.  2018 The Author(s) Published by the Royal Society. All rights reserved.",1,"MA350","","","",""
"X.ISI.000390195000003","A common framework for identifying linkage rules across different types of interactions","Bartomeus, Ignasi and Gravel, Dominique and Tylianakis, Jason M. and Aizen, Marcelo A. and Dickie, Ian A. and Bernard-Verdier, Maud","FUNCTIONAL ECOLOGY",30,"12","1894-1903",2016,"10.1111/1365-2435.12666","1. Species interactions, ranging from antagonisms to mutualisms, form the architecture of bio-diversity and determine ecosystem functioning. Understanding the rules responsible for who interacts with whom, as well as the functional consequences of these interspecific interactions, is central to predict community dynamics and stability. 2. Species traits sensu lato may affect different ecological processes by determining species interactions through a two-step process. First, ecological and life-history traits govern species distributions and abundance, and hence determine species co-occurrence and the potential for species to interact. Secondly, morphological or physiological traits between co-occurring potential interaction partners should match for the realization of an interaction. Here, we review recent advances on predicting interactions from species co-occurrence and develop a probabilistic model for inferring trait matching. 3. The models proposed here integrate both neutral and trait-matching constraints, while using only information about known interactions, thereby overcoming problems originating from undersampling of rare interactions (i.e. missing links). They can easily accommodate qualitative or quantitative data and can incorporate trait variation within species, such as values that vary along developmental stages or environmental gradients. 4. We use three case studies to show that the proposed models can detect strong trait matching (e.g. predator-prey system), relaxed trait matching (e.g. herbivore-plant system) and barrier trait matching (e.g. plant-pollinator systems). 5. Only by elucidating which species traits are important in each process (i.e. in determining interaction establishment and frequency), we can advance in explaining how species interact and the consequences of these interactions for ecosystem functioning.",1,"MA2","","","",""
"Blint2016797","Intraspecific differences in plant chemotype determine the structure of arthropod food webs","Blint, J. and Zytynska, S.E. and Salamon, R.V. and Mehrparvar, M. and Weisser, W.W. and Schmitz, O.J. and Benedek, K. and Balog, A.","Oecologia",180,"3","797-807",2016,"10.1007/s00442-015-3508-y","It is becoming increasingly appreciated that the structure and functioning of ecological food webs are controlled by the nature and level of plant chemicals. It is hypothesized that intraspecific variation in plant chemical resistance, in which individuals of a host-plant population exhibit genetic differences in their chemical contents (called plant chemotypes), may be an important determinant of variation in food web structure and functioning. We evaluated this hypothesis using field assessments and plant chemical assays in the tansy plant Tanacetum vulgare L. (Asteraceae). We examined food webs in which chemotypes of tansy plants are the resource for two specialized aphids, their predators and mutualistic ants. The density of the ant-tended aphid Metopeurum fuscoviride was significantly higher on particular chemotypes (borneol) than others. Clear chemotype preferences between predators were also detected. Aphid specialist seven-spotted ladybird beetles (Coccinella septempunctata) were more often found on camphor plants, while significantly higher numbers of the polyphagous nursery web spider (Pisaura mirabilis) were observed on borneol plants. The analysis of plant chemotype effects on the arthropod community clearly demonstrates a range of possible outcomes between plant-aphid-predator networks. The findings help to offer a deeper insight into how one important factorplant chemical contentinfluences which species coexist within a food web on a particular host plant and the nature of their trophic linkages.  2015, Springer-Verlag Berlin Heidelberg.",1,"MA220","","","",""
"Roper2011","Nuclear and genome dynamics in multinucleate ascomycete fungi","Roper, M. and Ellison, C. and Taylor, J.W. and Glass, N.L.","Current Biology",21,"18","R786-R793",2011,"10.1016/j.cub.2011.06.042","Genetic variation between individuals is essential to evolution and adaptation. However, intra-organismic genetic variation also shapes the life histories of many organisms, including filamentous fungi. A single fungal syncytium can harbor thousands or millions of mobile and potentially genotypically different nuclei, each having the capacity to regenerate a new organism. Because the dispersal of asexual or sexual spores propagates individual nuclei in many of these species, selection acting at the level of nuclei creates the potential for competitive and cooperative genome dynamics. Recent work in Neurospora crassa and Sclerotinia sclerotiorum has illuminated how nuclear populations are coordinated for fungal growth and other behaviors and has revealed both molecular and physical mechanisms for preventing and policing inter-genomic conflict. Recent results from population-level genomic studies in a variety of filamentous fungi suggest that nuclear exchange between mycelia and recombination between heterospecific nuclei may be of more importance to fungal evolution, diversity and the emergence of newly virulent strains than has previously been recognized.  2011 Elsevier Ltd. All rights reserved.",1,"MA260","","","",""
"Baghdasarian2017123","Effects of temperature and pCO 2 on population regulation of Symbiodinium spp. In a tropical reef coral","Baghdasarian, G. and Osberg, A. and Mihora, D. and Putnam, H. and Gates, R.D. and Edmunds, P.J.","Biological Bulletin",232,"2","123-139",2017,"10.1086/692718","This study tested the bleaching response of the Pacific coral Seriatopora caliendrum to short-term exposure to high temperature and elevated partial pressure of carbon dioxide (pCO 2 ). Juvenile colonies collected from Nanwan Bay, Taiwan, were used in a factorial experimental design in which 2 temperatures (27.6 C and 30.4 C) and 2 pCO 2 values (47.2 Pa and 90.7 Pa) were crossed to evaluate, over 12 days, the effects on the densities and physiology of the symbiotic dinoflagellates (Symbiodinium) in the corals. Thermal bleaching, as defined by a reduction of Symbiodinium densities at high temperature, was unaffected by high pCO 2 . The division, or mitotic index (MI), of Symbiodinium remaining in thermally bleached corals was about 35% lower than in control colonies, but they contained about 53% more chlorophyll. Bleaching was highly variable among colonies, but the differences were unrelated to MI or pigment content of Symbiodinium remaining in the coral host. At the end of the study, all of the corals contained clade C Symbiodinium (either C1d or C15), and the genetic variation of symbionts did not account for among-colony bleaching differences. These results showed that high temperature causes coral bleaching independent of pCO 2 , and underscores the potential role of the coral host in driving intraspecific variation in coral bleaching.  2017 The University of Chicago.",1,"MA116","","","",""
"Battiti2016","GENOPT 2016: Design of a GENeralization-based challenge in global OPTimization","Battiti, R. and Sergeyev, Y. and Brunato, M. and Kvasov, D.","AIP Conference Proceedings",1776,NA,NA,2016,"10.1063/1.4965339","While comparing results on benchmark functions is a widely used practice to demonstrate the competitiveness of global optimization algorithms, fixed benchmarks can lead to a negative data mining process. To avoid this negative effect, the GENOPT contest benchmarks can be used which are based on randomized function generators, designed for scientific experiments, with fixed statistical characteristics but individual variation of the generated instances. The generators are available to participants for off-line tests and online tuning schemes, but the final competition is based on random seeds communicated in the last phase through a cooperative process. A brief presentation and discussion of the methods and results obtained in the framework of the GENOPT contest are given in this contribution.Grant: This work was supported by the project No. 15-11-30022 ""Global optimization, supercomputing computations, and applications"" of the Russian Science Foundation. The authors thank Janos Pintr for sending comments and useful suggestions.",1,"MA166","","","",""
"Sambrani2013","Distinct Molecular Strategies for Hox-Mediated Limb Suppression in Drosophila: From Cooperativity to Dispensability/Antagonism in TALE Partnership","Sambrani, N. and Hudry, B. and Maurel-Zaffran, C. and Zouaz, A. and Mishra, R. and Merabet, S. and Graba, Y.","PLoS Genetics",9,"3",NA,2013,"10.1371/journal.pgen.1003307","The emergence following gene duplication of a large repertoire of Hox paralogue proteins underlies the importance taken by Hox proteins in controlling animal body plans in development and evolution. Sequence divergence of paralogous proteins accounts for functional specialization, promoting axial morphological diversification in bilaterian animals. Yet functionally specialized paralogous Hox proteins also continue performing ancient common functions. In this study, we investigate how highly divergent Hox proteins perform an identical function. This was achieved by comparing in Drosophila the mode of limb suppression by the central (Ultrabithorax and AbdominalA) and posterior class (AbdominalB) Hox proteins. Results highlight that Hox-mediated limb suppression relies on distinct modes of DNA binding and a distinct use of TALE cofactors. Control of common functions by divergent Hox proteins, at least in the case studied, relies on evolving novel molecular properties. Thus, changes in protein sequences not only provide the driving force for functional specialization of Hox paralogue proteins, but also provide means to perform common ancient functions in distinct ways.  2013 Sambrani et al.",1,"MA93","","","",""
"X.ISI.000356973100021","Molecular evolution patterns reveal life history features of mycoplasma-related endobacteria associated with arbuscular mycorrhizal fungi","Toomer, Kevin H. and Chen, Xiuhua and Naito, Mizue and Mondo, Stephen J. and den Bakker, Henk C. and VanKuren, Nicholas W. and Lekberg, Ylva and Morton, Joseph B. and Pawlowska, Teresa E.","MOLECULAR ECOLOGY",24,"13","3485-3500",2015,"10.1111/mec.13250","The mycoplasma-related endobacteria (MRE), representing a recently discovered lineage of Mollicutes, are widely distributed across arbuscular mycorrhizal fungi (AMF, Glomeromycota). AMF colonize roots of most terrestrial plants and improve plant mineral nutrient uptake in return for plant-assimilated carbon. The role of MRE in the biology of their fungal hosts is unknown. To start characterizing this association, we assessed partitioning of MRE genetic diversity within AMF individuals and across the AMF phylogeographic range. We further used molecular evolution patterns to make inferences about MRE codivergence with AMF, their lifestyle and antiquity of the Glomeromycota-MRE association. While we did not detect differentiation between MRE derived from different continents, high levels of diversity were apparent in MRE populations within AMF host individuals. MRE exhibited significant codiversification with AMF over ecological time and the absence of codivergence over evolutionary time. Moreover, genetic recombination was evident in MRE. These patterns indicate that, while MRE transmission is predominantly vertical, their complex intrahost populations are likely generated by horizontal transmission and recombination. Based on predictions of evolutionary theory, we interpreted these observations as a suggestion that MRE may be antagonists of AMF. Finally, we detected a marginally significant signature of codivergence of MRE with Glomeromycota and the Endogone lineage of Mucoromycotina, implying that the symbiosis between MRE and fungi may predate the divergence between these two groups of fungi.",2,"MA249","","","",""
"Seddon200372","Communal singing in the cooperatively breeding subdesert mesite Monias benschi: Evidence of numerical assessment?","Seddon, N. and Tobias, J.A.","Journal of Avian Biology",34,"1","72-80",2003,"10.1034/j.1600-048X.2003.03067.x","It has long been suggested that competing groups of social animals assess one another on the basis of communal vocalisations, but so far this has only been demonstrated in mammals. We investigated this idea in the subdesert mesite, a group-living bird that produces communal songs during aggressive territorial interactions with other groups. Where groups compete as units, differences in group size might outweigh inter-individual differences in determining the outcome of contests. Given this species' variable social system, we predicted that the composition of groups would also influence their resource holding potential. Playback experiments showed that the number of simulated intruders significantly influenced the strength of response by defending groups hearing the stimulus: groups were less likely to approach but gave more protracted and more communal vocal responses as the number of vocalising intruders increased. We found that the likelihood of a group approaching playback increased as the ratio between the number of males in the defending group and the number of males in the intruding group increased. Furthermore, the ratio of adult males to females in the defending group significantly affected the probability of approach, with the probability increasing as groups became more male-biased. This finding supports the idea that the social structure of groups may be important in determining the outcome of contests between groups. Overall this study provides some indication in birds of relative numerical assessment based on vocal cues.",1,"MA55","","","",""
"X.ISI.000242897000014","Ant stoichiometry: elemental homeostasis in stage-structured colonies","Kay, A. D. and Rostampour, S. and Sterner, R. W.","FUNCTIONAL ECOLOGY",20,"6","1037-1044",2006,"10.1111/j.1365-2435.2006.01187.x","1. Organisms facing variation in food quality maintain elemental composition within limited bounds. Such stoichiometric homeostasis has often been considered a species-specific parameter, but stoichiometry can also vary intraspecifically across life stages, sexes and sizes. In colonial organisms with overlapping generations, stoichiometric variation among stages could lead to flexibility in colony-level elemental composition due to changes in internal demography 2. We examine how the balance of energy (sucrose) and nutrients (prey) affects growth rate and carbon : nitrogen : phosphorus (C : N : P) homeostasis in a eusocial insect, the pavement ant Tetramorium caespitum. 3. Colony growth depended heavily on prey availability. However, sucrose scarcity led to higher worker mortality and production of smaller workers, suggesting sucrose availability will affect colony-level performance in a competitive environment. 4. In contrast, C : N : P stoichiometry of larvae, pupae, and workers varied mostly with sucrose availability. Biomass P content within life stages was lower in colonies receiving less access to sucrose. We suggest this difference arose primarily from shifts in individual ant mass coupled with negative P-body mass relationships. 5. Life stages differed considerably in elemental composition, and resource conditions affected colony stage structure. Nevertheless, variation in colony-level stoichiometry primarily reflected compositional differences within stages rather than shifts in internal demography.",1,"MA17","","","",""
"X.ISI.000328329600001","Rethinking Mutualism Stability: Cheaters and the Evolution of Sanctions","Frederickson, Megan E.","QUARTERLY REVIEW OF BIOLOGY",88,"4","269-295",2013,"10.1086/673757","How cooperation originates and persists in diverse species, from bacteria to multicellular organisms to human societies, is a major question in evolutionary biology. A large literature asks: what prevents selection for cheating within cooperative lineages? In mutualisms, or cooperative interactions between species, feedback between partners often aligns their fitness interests, such that cooperative symbionts receive more benefits from their hosts than uncooperative symbionts. But how do these feedbacks evolve? Cheaters might invade symbiont populations and select for hosts that preferentially reward or associate with cooperators (often termed sanctions or partner choice); hosts might adapt to variation in symbiont quality that does not amount to cheating (e.g., environmental variation); or conditional host responses might exist before cheaters do, making mutualisms stable from the outset. I review evidence from yucca-yucca moth, fig-fig wasp, and legume-rhizobium mutualisms, which are commonly cited as mutualisms stabilized by sanctions. Based on the empirical evidence, it is doubtful that cheaters select for host sanctions in these systems; cheaters are too uncommon. Recognizing that sanctions likely evolved for functions other than retaliation against cheaters offers many insights about mutualism coevolution, and about why mutualism evolves in only some lineages of potential hosts.",1,"MA310","","","",""
"X.ISI.A1996VV02000007","Marine chemical ecology: What's known and what's next?","Hay, ME","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY",200,"01-Feb","103-134",1996,"10.1016/S0022-0981(96)02659-7","In this review, I summarize recent developments in marine chemical ecology and suggest additional studies that should be especially productive. Direct tests in both the field and laboratory show that secondary metabolites commonly function as defenses against consumers. However, some metabolites also diminish fouling, inhibit competitors or microbial pathogens, and serve as gamete attractants; these alternative functions are less thoroughly investigated. We know little about how consumers perceive secondary metabolites or how ecologically realistic doses of defensive metabolites affect consumer physiology or fitness, as opposed to feeding behavior. Secondary metabolites have direct consequences, but they do not act in isolation from other prey characteristics or from the physical and biological environment in which organisms interact with their natural enemies. This mandates that marine chemical ecology be better integrated into a broader and more complex framework that includes aspects of physiological, population, community, and even ecosystem ecology. Recent advances in this area involve assessing how chemically mediated interactions are affected by physical factors such as flow, desiccation, UV radiation, and nutrient availability, or by biological forces such as the palatability or defenses of neighbors, fouling organisms, or microbial symbionts. Chemical defenses can vary dramatically among geographic regions, habitats, individuals within a local habitat, and within different portions of the same individual. Factors affecting this variance are poorly known, but include physical stresses and induction due to previous attack. Studies are needed to assess which consumers induce prey defenses, how responses vary in environments with differing physical characteristics, and whether the `induced' responses are a direct response to consumer attack or are a defense against microbial pathogens invading via feeding wounds. Although relatively unstudied, ontogenetic shifts in concentrations and types of defenses occur in marine species, and patterns of larval chemical defenses appear to provide insights into the evolution of complex life cycles and of differing modes of development among marine invertebrates. The chemical ecology of marine microbes is vastly underappreciated even though microbes produce metabolites that can have devastating indirect effects on non-target organisms (e.g., red tide related fish kills) and significantly affect entire ecosystems. The natural functions of these metabolites are poorly understood, but they appear to deter both consumers and other microbes. Additionally, marine macro-organisms use metabolites from microbial symbionts to deter consumers, subdue prey, and defend their embryos from pathogens. Microbial chemical ecology offers unlimited possibilities for investigators that develop rigorous and more ecologically relevant approaches.",2,"MA240","","","",""
"Malloch200077","Molecular evidence for multiple infections of a new subgroup of Wolbachia in the European raspberry beetle Byturus tomentosus","Malloch, G. and Fenton, B. and Butcher, R.D.J.","Molecular Ecology",9,"1","77-90",2000,"10.1046/j.1365-294X.2000.00836.x","Wolbachia, a group of maternally inherited intracellular parasitic bacteria, alter host reproduction, including the induction of thelytokous parthenogenesis, feminization of genetic males, son killing and, most commonly, the induction of cytoplasmic incompatibility (CI), in a diverse array of arthropods. CI can result in infertility and has attracted attention because of its potential in biological control and as an agent in speciation. Although there has been some analysis of overall infection rates in arthropods and within individual insect orders, there has been little exploration of within-species variation. In this study, primers specific for the ftsZ gene of Wolbachia were used to amplify it from different geographical samples of the European raspberry beetle (Byturus tomentosus), confirming the presence of Wolbachia. More than 99% of UK individuals were found to be infected with Wolbachia and 97% of these B. tomentosus beetles harboured multiple infections. Preliminary analysis of B. tomentosus beetles from continental European populations revealed a lower level of infection (24%) than those from the UK. Phylogenetic analysis using the ftsZ DNA sequences places Wolbachia from B. tomentosus into a new clade (Abt) within the A division, with some revisions to the existing Wolbachia phylogeny.",1,"MA248","","","",""
"X.ISI.A1991FZ81200016","MALE SIZE AND FEMALE MATE CHOICE IN THE EASTERN MOSQUITOFISH (GAMBUSIA-HOLBROOKI, POECILIIDAE)","BISAZZA, A and MARIN, G","COPEIA",NA,"3","730-735",1991,"10.2307/1446400","In the western mosquitofish (Gambusia affinis), earlier studies demonstrated that females direct more cooperative behavior toward large males.  Female eastern mosquitofish (G. holbrooki), including virgin and male-deprived specimens, which were given the opportunity to visually discriminate between two potential mates, showed no sign of sexual receptivity, nor preference for male size.  Furthermore, when test females were allowed to choose between conspecifics, males and females spent three times as much time near females than near males.  These results indicate little propensity of females to mate, irrespective of their previous treatment.  When several males were placed with a female, the largest was usually able to monopolize access to her.  Females encouraged this process by following the dominant male more closely and were, thus, found to favor the larger, dominant individuals.  The diversity in mating strategy suggested by this study is further evidence in favor of the separation of the western and eastern mosquitofish at the species level.",1,"MA238","","","",""
"Rathke20171","Age-dependent change of coalitionary strategy in male Barbary macaques","Rathke, E.-M. and Berghnel, A. and Bissonnette, A. and Ostner, J. and Schlke, O.","Primate Biology",4,"1","01-Jul",2017,"10.5194/pb-4-1-2017","Inter-and intra-specific variation in the propensity to form coalitions has been explained by variation in the availability of suitable partners, distribution of fighting ability, coalition profitability, and costs of coordination. Male coalition formation can be an alternative reproductive strategy to one-on-one competition to maximize male reproductive success. Here we focus on age as a state variable to explain within-group variation in individual propensity to form coalitions against other group members. We specifically test the prediction that males conditionally switch from a solo strategy for achievement of high mating success to a cooperative strategy after reaching post-prime age in male Barbary macaques (Macaca sylvanus). We combined new observations with data collected in 2006 and 2008 on the same individuals from one captive group living in semi-natural conditions at Affenberg Salem, Germany, and found that in all years males between 5 and 13 years formed significantly fewer coalitions than males 14 years and older (post-prime). More importantly, we found those males that aged into the post-prime phase to have switched their reproductive strategy and to form significantly more coalitions in 2014 compared to 2008. These first longitudinal data together with earlier cross-sectional analyses in this and other primate species suggest that group-level measures of coalition propensity may be strongly affected by the age composition of groups and that male coalition formation can be a conditional reproductive strategy.  Author(s) 2017.",1,"MA11","","","",""
"Kraemer2014","Social complementation and growth advantages promote socially defective bacterial isolates","Kraemer, S.A. and Velicer, G.J.","Proceedings of the Royal Society B: Biological Sciences",281,"1781",NA,2014,"10.1098/rspb.2014.0036","Social interactions among diverse individuals that encounter one another in nature have often been studied among animals but rarely among microbes. For example, the evolutionary forces that determine natural frequencies of bacteria that express cooperative behaviours at low levels remain poorly understood. Natural isolates of the soil bacterium Myxococcus xanthus sampled from the same fruiting body often vary in social phenotypes, such as group swarming and multicellular development. Here, we tested whether genotypes highly proficient at swarming or development might promote the persistence of less socially proficient genotypes from the same fruiting body. Fast-swarming strains complemented slower isolates, allowing the latter to keep pace with faster strains in mixed groups. During development, one low-sporulating strain was antagonized by high sporulators, whereas others with severe developmental defects had those defects partially complemented by high-sporulating strains. Despite declining in frequency overall during competition experiments spanning multiple cycles of development, developmentally defective strains exhibited advantages during the growth phases of competitions. These results suggest that microbes with low-sociality phenotypes often benefit from interacting with more socially proficient strains. Such complementation may combine with advantages at other traits to increase equilibrium frequencies of low-sociality genotypes in natural populations.  2014 The Author(s) Published by the Royal Society. All rights reserved.",2,"MA332","","","",""
"X.ISI.000432521800005","Spatial consequences for dolphins specialized in foraging with fishermen","Cantor, Mauricio and Simoes-Lopes, Paulo C. and Daura-Jorge, Fabio G.","ANIMAL BEHAVIOUR",139,NA,"19-27",2018,"10.1016/j.anbehav.2018.03.002","According to theory, individuals forage in ways that maximize net energy intake. Distinct foraging strategies may emerge within a population in response to heterogeneous resources, competition and learning, among other drivers. We assessed individual variation in, and ecological consequences of, an unusual, specialized foraging tactic between animals and humans. In southern Brazil, bottlenose dolphins, Tursiops truncatus, herd fish schools towards artisanal fishermen, who cast nets in response to behavioural cues from the dolphins. This apparent cooperative tactic likely involves costs as well as benefits for both interacting parties, but such trade-offs remain poorly understood, especially for dolphins. We show that individual dolphins vary markedly in the frequency with which they interact with fishermen, and that this foraging variation is linked to ranging behaviour. Not all individual dolphins interact with fishermen; those that routinely do so concentrate around the limited interaction sites and have smaller home ranges than independent foragers. This suggests that foraging with fishermen increases foraging success and reduces search costs (i.e. foraging range). Competition for interaction sites may offset such benefits, since some individuals often forage at the high-quality sites while others forage at low-quality sites. Taken together, our findings suggest that two alternative tactics emerge in the population from trade-offs involving food access, foraging area, learning techniques and competition: dolphins either forage by themselves over larger areas on unpredictable resource patches (passing fish schools), or learn to interact with fishermen to access and compete for more predictable resource patches (interaction sites). By revealing some of the ecological drivers of this remarkable human-animal interaction, our study contributes two broader insights. First, specialized foraging can have ranging consequences for individuals and so structure the population spatially; second, interspecific cooperation may be founded upon intraspecific competition. (c) 2018 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",2,"MA344","","","",""
"Grossman2003360","Cowboy and Indian alliances in the northern plains","Grossman, Z.","Agricultural History",77,"2","360-394",2003,NA,"Native Americans and white ranchers/farmers in eastern Montana and western South Dakota have often been in conflict over natural resources, such as water and grazing lands. But in the 1970s, the two groups began to develop a common interest in protecting the rural environment from large-scale development. Since the 1980s, they developed a series of interethnic environmental alliances that successfully opposed coal and uranium mines, bombing ranges, and other ""outside"" threats to their lands and cultures. A common defense of the local place provided a path out of historic natural resources conflicts. Alliances tended to be initiated by traditionalist and activist Native Americans who strongly asserted their tribal identity at the same time as they built bridges to white neighbors around common environmental concerns. This approach simultaneously strengthened a recognition of difference and similarities between Native and non-Native communities. The grassroots alliances promoted a territorially based, multiethnic ""place membership"" to build cooperation across racial lines, rather than state-sponsored ""reconciliation"" programs. Continuing cultural and economic differences made individual alliances difficult to sustain, although the series of alliances progressively improved relations between certain local communities.",1,"MA82","","","",""
"Rodrigues2018","Resource availability and adjustment of social behaviour influence patterns of inequality and productivity across societies","Rodrigues, A.M.M.","PeerJ",2018,"10",NA,2018,"10.7717/peerj.5488","Animal societies vary widely in the diversity of social behaviour and the distribution of reproductive shares among their group members. It has been shown that individual condition can lead to divergent social roles and that social specialisation can cause an exacerbation or a mitigation of the inequality among group members within a society. This work, however, has not investigated cases in which resource availability varies between different societies, a factor that is thought to explain variation in the level of cooperation and the disparities in reproductive shares within each social group. In this study, I focus on how resource availability mediates the expression of social behaviour and how this, in turn, mediates inequality both within and between groups. I find that when differences in resource availability between societies persist over time, resource-rich societies become more egalitarian. Because lower inequality improves the productivity of a society, the inequality between resource-rich and resourcepoor societies rises. When resource availability fluctuates over time, resource-rich societies tend to become more unequal. Because inequality hinders the productivity of a society, the inequality between resource-rich and resource-poor societies falls. From the evolutionary standpoint, my results show that spatial and temporal variation in resource availability may exert a strong influence on the level of inequality both within and between societies.  2018 Rodrigues.",1,"MA308","","","",""
"X.ISI.A1993LG32400012","ARE THERE GENERAL-PRINCIPLES OF SIGNAL-DESIGN","DAWKINS, MS","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON SERIES B-BIOLOGICAL SCIENCES",340,"1292","251-255",1993,"10.1098/rstb.1993.0065","Explanations of signal design must meet three requirements: they must be logically coherent, they must explain the diversity in size of animal signals and they must explain the diversity in form of signals. Three selection pressures operating on animal signals are discussed: the degree of conflict or cooperation, the `efficacy' of signals and how signalling costs are paid. A distinction is made between cases where costs of signalling are paid in the production of the signal and cases where costs are paid as a consequence of giving a signal on the grounds that differences in signal design result. This is illustrated by reference to the example of warning coloration. It is concluded that general principles still elude us because of the numbers of different selection pressures that operate on the design of animal signals.",1,"MA24","","","",""
"X.ISI.000277933400022","Social cohesion in yellow-bellied marmots is established through age and kin structuring","Wey, Tina W. and Blumstein, Daniel T.","ANIMAL BEHAVIOUR",79,"6","1343-1352",2010,"10.1016/j.anbehav.2010.03.008","Individual characteristics and choices can influence social structure in animal groups. Social behaviour is likely to change throughout an individual's life, resulting in different social roles at different ages. Individuals may also choose to interact differently with others based on their age, sex or kinship. We used social network analysis to examine biological correlates of individual social variation in free-living groups of yellow-bellied marmots, Marmota flaviventris. To measure social variation, we chose network measures that reflect an individual's tendency to initiate or receive both direct and indirect interactions. We asked how age, sex and kinship influenced patterns of affiliative ( socially cohesive) and agonistic ( socially competitive) interactions. Specifically, we predicted that individuals would vary in their tendency to initiate and receive interactions according to these characteristics, and that they would be more likely to interact affiliatively with more similar individuals and to interact agonistically with more dissimilar individuals. We found that patterns of direct and indirect interactions changed significantly with age, with younger animals being more involved in affiliative interactions and older animals initiating more agonistic ones. Furthermore, affiliative networks tended to be structured by age and kinship. Our results suggest that yearling yellow-bellied marmots are more important for maintaining social cohesion than has previously been recognized, and that marmot colonies are largely organized based on age group and kinship. (C) 2010 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",1,"MA331","","","",""
"Nicotra2009583","A Hypervariable Invertebrate Allodeterminant","Nicotra, M.L. and Powell, A.E. and Rosengarten, R.D. and Moreno, M. and Grimwood, J. and Lakkis, F.G. and Dellaporta, S.L. and Buss, L.W.","Current Biology",19,"7","583-589",2009,"10.1016/j.cub.2009.02.040","Colonial marine invertebrates, such as sponges, corals, bryozoans, and ascidians, often live in densely populated communities where they encounter other members of their species as they grow over their substratum. Such encounters typically lead to a natural histocompatibility response in which colonies either fuse to become a single, chimeric colony or reject and aggressively compete for space. These allorecognition phenomena mediate intraspecific competition [1-3], support allotypic diversity [4], control the level atwhich selection acts [5-8], and resemble allogeneic interactions in pregnancy and transplantation [9-12]. Despite the ubiquity of allorecognition in colonial phyla, however, its molecular basis has not been identified beyond what is currently known about histocompatibility in vertebrates and protochordates. We positionally cloned an allorecognition gene by using inbred strains of the cnidarian, Hydractinia symbiolongicarpus, which is a model system for the study of invertebrate allorecognition. The gene identified encodes a putative transmembrane receptor expressed in all tissues capable of allorecognition that is highly polymorphic and predicts allorecognition responses in laboratory and field-derived strains. This study reveals that a previously undescribed hypervariable molecule bearing three extracellular domains with greatest sequence similarity to the immunoglobulin superfamily is an allodeterminant in a lower metazoan.  2009 Elsevier Ltd. All rights reserved.",1,"MA5","","","",""
