Timestamp,"Q1. Abstract ID (MA1, MA2 etc.)",Q2. Screener ID,Q3. Study Type,Q4. Interaction type,Q5. Ecological scale of the interaction,"Q6. Interacting species, scientific name(s)",Q7. What trait influences the quality of the interaction? (e.g. behavioural phenotype),Q8. In which species does the trait vary?,Q9. Is anything know about the genetic basis or heritability of the trait? (focusing on information provided by the paper only),"Q11. In what scale does the interaction shift between mutualistic and antagonistic (e.g. does the trait variation lead to individuals, populations or species varying along this continuum)",Q10. Does the study show a shift in the interaction between mutualism-antagonism?,Q12. What is the direction of shift?,"Q13. What factors are driving that shift? (e.g. ecological, abiotic, social)","Q14. What is the ecological impact of the interaction and shift of that interaction? (i.e. what ecological processes may be effected, focusing on information provided by the paper)",Q15. Is there a connection to the NC3? (e.g. the promotion and maintenance of individual-level traits or niche variation),Q17. Additional notes (include any points of significance that are not included in this questionnaire),"Q16. Do you have any outstanding concerns or questions about the paper (e.g. is there no clear trait that appears to vary, is there no clear shift in the interaction between mutualism and antagonism)",Q18. Do you think this paper can be included within the review (on the basis of our inclusion/exclusion criteria)?,"Q19. If No/Maybe, why?",,,,,,,
1/21/2020 21:19:31,MA258,NM,Modelling/theory,Competition-cooperation,Intra-specific (within population),"NA (based on species that exhibit both a colonial and nomadic behavioural form, cites jellyfish medusae vs. polyps, and humans)","Behavioural (nomadic v individual strategy, the propensity to switch between strategies/plasticity)",NA,Not considered,"Individuals, sub-populations","Maybe, switching between colonial to nomadic strategy is considered a switch from high-competition/cooperation to low competition/cooperation, not from one to the other. Although the amount of plasticity may be seen as enhancing cooperation and reducing competition when it becomes detrimental to the population. ","Mutualistic to antagonistic, Antagonistic to mutualistic",Related to the environmental deterioration of having larger groups,long term population growth v decay,impacts of behavioral/phenotypic plasticity ,Population models,,Maybe,The issue is whether the degree of behavioral plasticity can be considered and individual trait that shifts the interactions within population between competition-cooperation (I think it possibly can) ,,,,,,,
1/21/2020 22:22:02,MA294,NM,Modelling/theory,interdependency of functions between organisms (something like cooperation),"Inter-specific (2 species), Intra-specific (between populations)",NA (designed on microbial interactions primarily),"Leaky traits (i.e. generalized traits that provide benefits to other organisms, particularly chemical production) ",NA,"The degree of privatization of 'leaky functions', i.e. the level that the benefits of the function are isolation to the organism performing the function",Model refers to strains (so could apply  to populations inter- or intraspecifically interacting),"Yes, high privatization leads to independent genotypes, low levels lead to some exploitation, intermediate levels lead to mutually interdependent genotypes ","Mutualistic to antagonistic, Antagonistic to mutualistic",the model directly manipulates the degree of function privatization,the degree of interdependency between interacting 'strains',unclear,,,Yes,,,,,,,,
1/21/2020 22:29:47,MA340,NM,Commentary,Competition-cooperation,Intra-specific (within population),NA,NA,NA,NA,,NA,,NA,NA,,,,No,"Paper is a commentary, primarily focused on definitions of cooperative behavioral and cooperative breeding",,,,,,,
1/22/2020 1:22:42,MA370,NM,Modelling/theory,"Competition-cooperation, Cooperation (in prey attack)- Disease transfer",Intra-specific (within population),NA (generalized social group. but based on group hunting social spider Stegodyphus dumicola),"Social influence (keystone individual with a high degree of influence on the behavioural composition and/ collective behaviour of a group, in the study species this is a high boldness individual)",NA,Not stated in the paper,"Individuals, Populations","Yes, shows a trade-off between positive and negative outcomes of collective behaviour that is influenced by the presence of keystone (high boldness) individuals in the group","Mutualistic to antagonistic, Antagonistic to mutualistic, A trade-off between negative and positive collective outcome implies it moves in both directions.",The persistence of behaviours within the group; the degree of behavioural influence between group members; and patterns of interactions between group members,influences the costs and benefits of collective behaviours (terms collective outcomes),shows factors influencing intraspecific social niches,,,Yes,,,,,,,,
1/22/2020 1:36:41,MA390,NM,"Modelling/theory, Review",Competition-cooperation,Intra-specific (within population),NA,Individual quality,Between individuals in an interacting social group,No,Individuals,"Only if you consider that competition inherently exist within social groups between individuals, and participating in cooperative 'helping' behavior makes inter-individual interactions more antagonistic and less mutualistic","Mutualistic to antagonistic, Antagonistic to mutualistic","The costs of helping (performance costs and opportunity costs are distinguished), and whether there are menefits of helping to the individual",Determines roles in a social group,factors influencing individual social niches,,Need a second opinion on whether is can be considered a shift towards more antagonistic interactions simply by not helping.,Maybe,"No explicitly a shift towards antagonism (due to the not participating in helping behaviour), but increased competition could be implied",,,,,,,
1/22/2020 1:53:14,MA408,NM,Review,Competition-cooperation,"Intra-specific (within population), Intra-specific (between populations)","NA (34 cas studies, each based on a variety of species examples)",Behavioural: the level of individual investment in cooperative interactions,NA,"Yes, shows examples of species where there is genetically hertiable components to investment in cooperation; suggests there is also a epigenetic component",Individuals,"Yes, suggests individuals will vary in their investment in cooperative interactions based on the costs/benefits to the individual, but also due to heritable/genetic/epigenetic amoung individual behavioural variation","Mutualistic to antagonistic, Antagonistic to mutualistic","NA, suggests that pre-existing behavioural variation in populations will influence the interaction between individuals on a cooperation-competition continuum ","""bi-parental care; cooperative breeding; cooperative hunting; and human cooperation """,individual variation influencing between individual interactions,,,Yes,,,,,,,,
1/22/2020 2:04:51,MA77,NM,Modelling/theory,Competition-cooperation,"Between cells (suggests results are applicable across scales, 'from solitary organisms to societies')",NA (designed based on single cell interactions),"NA (no separate individual, so no trait variation)",NA,implies that cells have a heritable level of among-cell cooperation,Within-Individual ,Not between organisms (only by analogy),Antagonistic to mutualistic,,,,,,No,"There is no evidence of trait variation, No trait variation between individuals (variation is within-individual)",,,,,,,
1/22/2020 2:18:17,MA83,NM,Review,Competition-cooperation,"Intra-specific (within population), Intra-specific (between populations)",NA (ranges from evolution of muticellularity to human societies),No intraspecific trait that appears to very,NA,,,,,,,,,,No,"There is no evidence of trait variation, Only briefly mentions a paper (Couzin 2005) that may be relevant. Otherwise, not on our topic.",,,,,,,
1/27/2020 19:50:17,MA11,JW,Observational,Competition-cooperation,Intra-specific (within population),Macaca sylvanus,Age,Macaca sylvanus,NA,Individuals,Yes,Antagonistic to mutualistic,Social,"Reproductive strategy, mating success.",Yes,NA,NA,Yes,,,,,,,,
1/27/2020 23:29:37,MA103,JW,Observational,Competition-cooperation,Intra-specific (within population),Southern hairy-nosed wombats (Lasiorhinus latifrons),spatiotemporal social organization,Southern hairy-nosed wombats (Lasiorhinus latifrons),NA,Populations,Yes,Antagonistic to mutualistic,natural variation in wombat habitat structure (soil type and consequent burrow distributions),population processes and behaviors,Yes,NA,No,Yes,,,,,,,,
1/28/2020 0:05:02,MA120,JW,Experimental,Competition-cooperation,Intra-specific (within population),African striped mouse (Rhabdomys pumilio),social flexibility (solitary vs group living and reproductive tactics),African striped mouse (Rhabdomys pumilio),NA,Individuals,Yes,Antagonistic to mutualistic,"population density (ecological), with testosterone and corticosterone as the proximate cause","Environmental change can impact group-living and physiological mechanisms, with further effects on behavior and fitness",Yes,NA,No,Yes,,,,,,,,
1/28/2020 1:28:57,MA128,JW,Review,Competition-cooperation,Intra-specific (within population),sperm,"sperm form (i.e., heteromorphism or conjugation) to promote cooperation",sperm,"No evidence to suggest that sperm genomic diversity translates to individual sperm phenotypes (e.g., sperm form is a trait of males, not of individual sperm)",Individuals,Yes,Antagonistic to mutualistic,"Individual sperm cooperation is a higher-level male trait (e.g., no selection acting on sperm individuals themselves)","Sperm form (which influences functional cooperation) is a male-selected trait, influencing sexual selection",Yes,NA,No,Maybe,"Trait variation (sperm form) which leads to sperm cooperation is a male-selected trait, and sperm can not be viewed as individuals cooperating for their own evolutionary interests.",,,,,,,
1/28/2020 2:10:03,MA143,JW,Observational,Host-symbiont,Inter-specific (2 species),"Cerulean Warbler (Setophaga cerulea); Prothonotary Warbler (Protonotaria citrea);  Feather mites subfamily (Astigmata: Analgoidea, Pterolichoidea), genus (Amerodectes)","Feather mite density, host breeding ecology, host age and sex",Hosts (warbler species),No,"Individuals, Species",No,No shift,NA,NA,Yes,NA,"No clear shift in host-symbiont relationship. All symbionts were observed to be commensal, regardless of trait variation.",No,There is no shift in the quality of the interaction,,,,,,,
1/28/2020 2:50:50,MA157,JW,Observational,Host-symbiont,Inter-specific (>2 species),Baishan fir (Abies beshanzuensis) and its endophytic fungi,Defensive traits,endophytic fungi species,Diversity in laccase genes contributes to ability to decompose needles,"Individuals, Species","Not specifically, but mentions it is possible",Mutualistic to antagonistic,"Ecological, genetic",Functional variation (and complementarity) in the fungal community may increase host fitness and optimize ecological processes and ecosystem functioning,Yes,NA,"This paper speculated that trait variation may drive a shift in the interaction between commensal to parasite, but it as not shown here",Maybe,There is no shift in the quality of the interaction,,,,,,,
1/28/2020 22:40:50,MA198,JW,Observational,Competition-cooperation,Intra-specific (within population),Meerkats (Suricata suricatta),individual differences in cooperative contributions to territory defence,Meerkats (Suricata suricatta),NA,Individuals,Slight shift in amount contributed to territory defense,Antagonistic to mutualistic,"Tradeoffs in investment between different cooperative behaviors (i.e., territory defense vs pup feeding rates)",Group genetic diversity and reproductive success of individuals,Yes,NA,No,Yes,,,,,,,,
1/28/2020 23:02:25,MA236,JW,Observational,Male-female,Intra-specific (within population),Non-interacting species: bonobos (Pan paniscus) and chimpanzees (Pan troglodytes),reproductive skew,Non-interacting species: bonobos (Pan paniscus) and chimpanzees (Pan troglodytes),"No, but the authors make the argument that reproductive skew is species-specific",Populations,Yes,"Mutualistic to antagonistic, Depending on the order of the species considered, bonobos to chimps",social,evolution of social and mating systems,Yes,NA,No,Yes,,,,,,,,
1/29/2020 3:03:30,MA270,JW,Review,Host-symbiont,Inter-specific (>2 species),Teleost fish and many types of parasites,Behavioral variation,Hosts,,Individuals,Yes,Infection susceptibility (antagonistic),"ecological, social",Parasitism may effect the ecology and evolution of behavior,Yes,NA,No,Yes,,,,,,,,
1/29/2020 18:14:43,MA319,JW,Observational,Male-female,Intra-specific (within population),"Eurasian penduline tit (Remiz pendulinus), Cape penduline tit (Anthoscopus minutus)",parental care (sexual conflict over care),"Eurasian penduline tit (Remiz pendulinus), Cape penduline tit (Anthoscopus minutus)","The paper compares the trait across and within species, implying there is a genetic basis to the trait.","Individuals, Species",Yes,"Mutualistic to antagonistic, This question is confusing and context-dependent","Ecological, social","speciation, breeding systems, and the evolution of behavior and morphology",Yes,NA,No,Yes,,,,,,,,
1/29/2020 19:38:48,MA354,JW,"Observational, Experimental",Competition-cooperation,Intra-specific (within population),Banded mongoose (Mungos mungo),variation in begging intensity; variation among helpers in responsiveness to begging,Banded mongoose (Mungos mungo),"Responsiveness to begging intensity varies by state and sex of pup, so there is some genetic basis",Individuals,Yes,"Antagonistic to mutualistic, Hard to respond to this question","ecological, social",Variation may have effects on signaller fitness,Yes,NA,No,Yes,,,,,,,,
1/30/2020 0:25:42,MA386,JW,Experimental,Competition-cooperation,Intra-specific (within population),Downy woodpecker (Picoides pubescens),coordinated aggressive responses,Downy woodpecker (Picoides pubescens),No,Individuals,Yes,NA,"social context (i.e., fiercer competition from intruders)",adaptive social decision-making in animals,Yes,NA,No,Yes,,,,,,,,
1/30/2020 1:12:15,MA396,JW,Observational,Host-symbiont,Inter-specific (>2 species),"Carnivorous pitcher plants (Genus: Nepenthes, Sarracenia, Heliamphora, Darlingtonia, Cephalotus, Brocchinia, Catopsis, Paepalanthus) and their pitcher inquilines (organisms that inhabit pitcher plants)",composition of pitcher fluid,"Carnivorous pitcher plants (Genus: Nepenthes, Sarracenia, Heliamphora, Darlingtonia, Cephalotus, Brocchinia, Catopsis, Paepalanthus)",Much variation in fluid composition is between species,"Individuals, Species",Yes,Antagonistic to mutualistic,"Ecological, chemical (abiotic)",food webs and pitcher fluid communities,Yes,NA,No,Yes,,,,,,,,
2/2/2020 20:00:22,MA81,NL,Observational,Competition-cooperation,Intra-specific (within population),Suricata suricatta,"age, dominance aquisition",Suricata suricatta,no,Individuals,no,Intensities of cooperative behaviour,,,niche spezialization,,no clear mut-ant interaction,Maybe,There is no shift in the quality of the interaction,,,,,,,
2/2/2020 20:35:34,MA136,NL,"Observational, Experimental","Competition-cooperation, Personality traits (Exploration)",Intra-specific (within population),Acrocephalus sechellensis,"reproductive state, insect abundance, age",Acrocephalus sechellensis,no,,no,Mainly focussing on explorative behaviour,,,niche spezialization ,,no clear shift in the interaction between mutualism and antagonism,No,"There is no shift in the quality of the interaction, no mut-ant interaction",,,,,,,
2/2/2020 21:48:04,MA228,NL,"Observational, Experimental",Competition-cooperation,"Intra-specific (within population), Intra-specific (between populations)",Messor pergandei,"polygyny vs monogyny, behavioural phenotype, geographic variation, ",Messor pergandei,yes. Genetic differences correlate with geographic differences ,Populations,"yes, queens from polygynous colonies fought less in an experimental setup than queens from  monogynous colonies  ",Mutualistic to antagonistic,"genetic, geographic ","homogeneity within colony, adaptation to environment, gene flow,natural selection","yes, niche variation, but on population-level rather that individual level",,no,Yes,,,,,,,,
2/3/2020 4:25:03,MA274,NL,"Observational, Experimental",Competition-cooperation,Intra-specific (within population),Lemur catta,behavioural phenotype,Lemur catta,no,,"no, just variation along the continuum of  participation in inter-group encounters",,no shift; factors driving participation are dominance rank and no. of daughters,"no shift, but kin selection may play a role in participation in inter-group conflicts",interindividual differences,,"Very small sample size, no mut-ant shift",No,There is no shift in the quality of the interaction,,,,,,,
2/4/2020 0:47:26,MA286,KJB,Modelling/theory,Competition-cooperation,Intra-specific (within population),NA,Degree of policing,NA,"No, but relatedness between individuals is taken as a covariate to explain the observed patterns.",Individuals,"Yes. (Particularly for group that have low relatedness, policing leads to less competition)",Antagonistic to mutualistic,"Trade-off between group productivity and the cost of policing, mediated by kinselection (relatedness)",NA,"Yes, particularly in the case with fluctuating resources, different individuals are expected to have different strategies.",,"The paper uses different terminology, so it was hard to determine whether these processes are really relevant.",Yes,,,,,,,,
2/4/2020 2:05:35,MA204,KJB,Modelling/theory,Competition-cooperation,Intra-specific (within population),NA,Relatedness,Focal species,"No, but relatedness is a parameter in the model.","Individuals, Populations","Yes, but it's a shift between populations w.r.t. their parameter values, not within one population over time",Antagonistic to mutualistic,"Relatedness. Furthermore, in a final model, variable resources lead to more individual  variation in defence allocation",NA,"Especially in the variable resource set up there are differences in vigour, leading to differential inversment in induction.",The model is very similar to Frank (1996) [MA286]. ,"The connection to our review is hard to see, but does seem to be present (requires interpretation though).",Yes,,,,,,,,
2/4/2020 3:22:30,MA186,KJB,Modelling/theory,Mutualism-antagonism,Inter-specific (2 species),NA,Two discrete types in each species,Both,Perfect heritability,Populations,"The types per se remain constant through time, but their relative frequency changes, thereby changing the overall quality of the interaction on the population level.","depends, potentially cyclical. However, qualitatively the interaction remains of the same type everywhere, but the percentage of individuals participating in the interaction varies over time.","Patch connectedness, degree of mutualism vs. antagonism in the parameters",NA,Maintenance of two types over time is discussed.,,Paper requires a few steps of interpretation before it is applicable.,Maybe,"There is no shift in the quality of the interaction, It is not the interaction itself that changes over time, but rather the frequency of participants. That by itself could change the interaction on the scale between neutral and either antagonistic or mutualistic.",,,,,,,
2/4/2020 6:33:42,MA359,KJB,Modelling/theory,Competition-cooperation,"Inter-specific (2 species), Intra-specific (within population), Moving from one species to multiple",NA,Competititive similarity,All,"Heritability is initially low, but later increases (as a product of the model)",Individuals,"Yes (competition decreases, the paper is between neutral and antagonistic)",Antagonistic to less antagonistic,Avoiding similarity to decrease competitive pressure,Speciation,Individuals develop different genotypes to fit their self-formed niche.,,"Mutualism doesn't seem to appear.Also, the notation was hard to follow, unsure if I understood the paper fully.",Yes,,,,,,,,
2/4/2020 6:49:59,MA34,KJB,Modelling/theory,Competition-cooperation,Intra-specific (within population),NA,Variance in offspring number over time and covariance between types in offspring numbers,NA,Relatedness is used as a pre-set parameter that affects the outcome of the model.,Individuals,"Yes, otherwise competing types become mutualistic if they experience a 'good' environment at very different times.",Antagonistic to mutualistic,Competitive similarity,Potentially speciation,The species generate each other's niche that they then have to stick to.,Somewhat similar to MA359,,Yes,,,,,,,,
2/4/2020 7:07:50,MA71,KJB,Modelling/theory,Competition-cooperation,Inter-specific (2 species),NA,A 'magic' trait [literally taken from the paper],both,Offspring get the average of the parental trait values + a number from a normal distribution with mu =0 and sigma =0.05,"Species, Somehwat unclear as later the original species are again divided into subspecies.","The number of mutualistic partners that an individual typically encounters, determines how many species can co-exist.",Antagonistic to mutualistic,Number of mutualistic partner encountered,Speciation,Subniches are formed to respond to subniches in the mutualistic partner species,,,Maybe,"There is no evidence of trait variation, It is not so clear what happens when the amount of variation changes, rather the amount of variation is a prodcut of the model.",,,,,,,
2/5/2020 5:11:25,MA197,UE,Experimental,Competition-cooperation,Intra-specific (within population),Apis mellifera,policing behaviour,Apis mellifera,yes; patriline specialisation,"Individuals, patrilines",no,"Not really a shift; some patrilines do police more than others, but most likely all do",NA,None,"yes; indiviudal differences, patriline differences",NA,NA,No,There is no shift in the quality of the interaction,,,,,,,
2/5/2020 10:27:56,MA343,UE,"Observational, Experimental",Competition-cooperation,Intra-specific (within population),Apis mellifera,metabolic rate,Apis mellifera,no,"Individuals, but doesn't shift",no,"doesn't shift, just shows individual differences",NA,NA,individual differences,,no,No,There is no shift in the quality of the interaction,,,,,,,
2/5/2020 12:26:46,MA404,UE,"Observational, Modelling/theory",Competition-cooperation,Intra-specific (within population),Damaraland mole-rats (Fukomys damarensis),????,Damaraland mole-rats (Fukomys damarensis),no,"Individuals, but there is no shift",NA - there is no shift,no shift;,NA,potential competition for ressources for individual growth,individual differences in growth rates,,no,No,There is no shift in the quality of the interaction,,,,,,,
2/5/2020 21:44:18,TEST,NM,TEST,TEST,TEST,TEST,TEST,TEST,TEST,TEST,TEST,TEST,TEST,TEST,TEST,TEST,TEST,,TEST,,,,,,,
2/5/2020 22:41:53,MA405,UE,Review,"Male-female, Competition-cooperation, communal/social breeding/cooperation","Intra-specific (within population), Intra-specific (between populations)","Microtus (2 species, prairie vole, mountain vole)","long allele variants were more social, more pair-bonding (both within species and between species comparisson)",Microtus (prairie vole vs. mountain voles),"yes, allele variants (longer alleles more social)","Individuals, Populations, Species",potentially shift from less social to more social,neutral to more social,not mentioned in this review paper,not mentioned,"Yes: individual differences matter, and may have different origin",good arguments against the optimality approach: there might not be selection for facultative decisions,NA,Yes,,,,,,,,
2/6/2020 5:15:51,MA5,UE,Experimental,"Competition-cooperation, colony fusion vs. colony competition",Intra-specific (within population),Hydractinia symbiolongicarpus (Cnidaria),alleles (f vs. r) at locus alr1 and alr2,Hydractinia symbiolongicarpus (Cnidaria),"yes: 2 shared: fusion none shared: rejection  1 shared at alr2: initial fuse, but separation after 1-3 days (type I) 1 shared at alr1: initial fuse 1-4 days, then cyles of rejection and (re)fusion (type II)","Individuals, although individual is not quite correct, as one ""individual"" is likely a colony of Cnidarians, if I understand correctly; also, they can fuse, so two ""individuals"" become one",yes,"Both: two neighbours: either they fuse, or they fight (or occssionaly, a circle of initial fusion and then rejection)",alleles,???,yes; individual differences,mechanism of recognition foreign cells; on the genetic level elucidated,no,Yes,,,,,,,,
2/6/2020 9:11:05,MA263,UE,Review,Competition-cooperation,"Inter-specific (2 species), Intra-specific (within population)","e.g. origin of eukaryotic cell; green algae group, Volvocales (e.g. Volvox)",I am not sure,predessesors of eukayotic cells,no,"Individuals, I am not sure","""even if the groups initially form via antagonistic interactions, as may have been the case during the origin of the eukaryotic cell (e.g., (Maynard Smith and Szathma´ry, 1995; Michod and Nedelcu, 2003)""",Antagonistic to mutualistic,I do not know,"creating og higher order units, e.g. eukaryots, or multicellularity (or even higher units)",Shift from antagonism to cooperation at the origin from Eukaryots,,no clear trait,Yes,,,,,,,,
2/6/2020 9:22:59,MA117,UE,"Observational, Experimental",Competition-cooperation,Intra-specific (within population),Homo sapiens,,,,Individuals,,,,,,,,No,"Humans as a study subject (note: this is currently being treated as an exclusion criteria), I did not read the paper, because it was about school kids.",,,,,,,
2/6/2020 9:52:31,MA231,UE,Experimental,Competition-cooperation,Intra-specific (within population),"parasitoid wasp, Melittobia acasta",size of opponents; density of males and females,"parasitoid wasp, Melittobia acasta",no,Individuals,"no, only less or more (deadly) aggression",between more or less aggressive,"social (number of males, number of females), size",??,"individuals differ, and their niches, too (but sometimes you cannot choose your iche, e.g. when you are born inside a fly pupae, as is the case for parasitic wasps)",,"no shift, only more or less aggression",No,There is no shift in the quality of the interaction,,,,,,,
2/6/2020 21:50:09,MA8,UE,Review,Competition-cooperation,Intra-specific (within population),"Old world monkeys, e.g.baboons (Papio spp.), Assamese macaques, Macaca assamensis; Barbary macaques, Macaca sylvana; geladas, Theropithecus gelada, chimpanzees, Pan troglodytes; rhesus macaques, Macaca mulatta","unclear, whether genetic, skills, motivation; some evidence for ""adaptive influence of genes on neural circuits and neuromodulatory systems mediating social function""",see Q6; experiments in Rhesus macaques,very little to date; some suggest some heritability (one study),Individuals,yes; individuals have to decide whether to cooperate and/or compete with each other,"Mutualistic to antagonistic, Antagonistic to mutualistic, can go forth and back, depending on the situation",likely individual decisions,[my interpretation:] selction for social behaviour,"yes, individual differences, personality",,"no clear shift, as individuals have to decide in each interaction whether they cooperate or compete",Yes,,,,,,,,
2/7/2020 1:40:19,MA35,UE,Experimental,Competition-cooperation,Intra-specific (within population),Homo sapiens,,,,,,,,,,"I have not read the paper, because it was on human cooperation",,No,Humans as a study subject (note: this is currently being treated as an exclusion criteria),,,,,,,
2/7/2020 4:14:22,MA33,UE,Experimental,Competition-cooperation,Intra-specific (within population),long-tailed macaques (Macaca fascicularis),rank (relative dominacne position) of donor and receiver,long-tailed macaques (Macaca fascicularis),no,Individuals,no,no clear shift,rank,?,hardly (except that individuals may differ),,no clear trait,No,There is no shift in the quality of the interaction,,,,,,,
2/7/2020 7:53:47,MA246,UE,"Observational, Experimental, Modelling/theory, Review","Male-female, Competition-cooperation",Intra-specific (within population),"Lacerta vivipara, and genus Uta","3 alleles (o,y, b)","Lacerta vivipara, and genus Uta","yes, three alleles, single locus, but also three recognition genes which are physically not linked (""coupled by correlational selection into a social supergene"")",Individuals,"yes, the different alleles are coupled to different behaviours, one is cooperative, the others are not","cyclic (rock, paper, scissors)",negative frequency depenent selection,ever changing frequencies of a particular morph (but stable cycles),"yes, different genes and different behavioural (social) niches",,it is cyclic- very cool,Yes,,,,,,,,
2/8/2020 3:09:31,MA180,NL,Observational,Competition-cooperation,Intra-specific (within population),Homo sapiens,decision-making,Homo sapiens,no,Individuals,yes,NA,Hormonal profiles (testosterone and cortisol),status-seeking,maybe?,,humans are study subject,No,Humans as a study subject (note: this is currently being treated as an exclusion criteria),,,,,,,
2/8/2020 3:23:22,MA227,NL,Modelling/theory,aggregation kinetics,Intra-specific (within population),Simulation based on work on Lasius niger,Behavioural phenotype,Lasius niger,no,Individuals,not really antagonistics oder mutualistic behaviour,neither antagonistic nor mutualistic,Density,,not sure,I am not familiar with simulation papers at all. Maybe someone of the theoretical/moddeling taskforce wants to read it again?,no mutualistic vs antagostic interaction,No,neither antagonistic not mutualistic behaviour. It is just aggregation,,,,,,,
2/8/2020 3:47:38,MA275,NL,"Observational, Experimental","Competition-cooperation, Consumer-resource/predator-prey",Intra-specific (within population),Parus major,mobbing (=coorperative behaviour against common predator),Parus major,,Individuals,"not really, just a variation in cooperative behaviour",No antagonistic data in this study,"density (distance to neighbouring nestbox), personality (neopobic vs neophilic)",Nestling survival --> proxy for fitness,"yes, social environment has an impact on cooperative behaviour",,"no antagonistic interaction within the species, only cooperative aggression against common predator",No,There is no shift in the quality of the interaction,,,,,,,
2/8/2020 3:51:41,MA301,NL,NA,NA,"Intra-specific (within population), NA",Macaca fascicularis,,Macaca fascicularis,NA,NA,NA,NA,NA,NA,NA,No full text available,NA,Maybe,Full-text not accessible/not in English or German,,,,,,,
2/11/2020 2:34:58,MA287,NL,Review,Competition-cooperation,Intra-specific (within population),"many (eusocial insects, primates, fish, etc.) , but special glance on eusocial hymenoptera","behavioural phenotype (punishment, oophagy)",e.g. hymenoptera (Harpagoxenus sublaevis),relatedness,"Individuals, Caste",yes.1. punishment for the great good is dependent on the individual relatedness of sterile workers to the queen 2. Drone-producing workers should only eat each others eggs when the queen has little coecive power,Mutualistic to antagonistic,"relatedness, Behaviour of the queen","Benefits of the greater good (e.g. reduced reproductive conflict, increasing help)","maybe, but eusociality is a special case I guess, because all members of one caste share the same interests",,"mutualism is not mentioned, but plays a role in eusociality",Maybe,,,,,,,,
2/11/2020 3:10:17,MA398,NL,"Observational, Experimental","Male-female, Competition-cooperation",Intra-specific (within population),Common murres (Uria aalge),"behavioural phenotype (Turn-taking, parental care, sociopositive behaviour)",Common murres (Uria aalge),"yes. ""mates should respond to information from their partners if they can do so without compromising their own condition beyond a critical threshold""",Individuals,yes (=maintaining its partner's health as well as its own),"Mutualistic to antagonistic, Antagonistic to mutualistic","foraging success, body condition of the partner",Maintanance of long-term pair bond --> Fitness benefits,yes,NA,NA,Yes,,,,,,,,
2/11/2020 4:41:24,MA402,NL,"Observational, Uses data of previous paper (Radford & du Plessis 2003)",Male-female,Intra-specific (within population),"green woodhoopoes, Phoeniculus purpureus","foraging success, no antagonistic-mutualistic  trait","green woodhoopoes, Phoeniculus purpureus",NA,NA,no.,NA,No mut-ant interaction,NA,niche partitioning mentioned,,"no mut-ant trait that varies, rather focusses on relationship between sex, dominance and morphology on feeding success",No,"There is no evidence of trait variation, There is no shift in the quality of the interaction, No mut-ant interaction",,,,,,,
2/15/2020 6:34:15,MA284,KJB,Modelling/theory,Mutualism (e.g. plant-pollinator),Inter-specific (2 species),NA,animal choosiness and plant reward offer,Mainly plant reward offer (this is the trait variation that drives the effect),"Focus is on non-heritable variation (this is driving the shift, although there are also genotypic components to the trait value)",Species,Yes,Antagonistic to mutualistic,"Biological. Trait variation in reward system in plants, requires animals to be more choosy w.r.t. the plant the visit, which then leads to the plants evolving higher rewards (more mutualistic)",Population sizes of the species are also affected by the trait variation.,"Somewhat, although separate niches do not develop.","Reminds me a bit of the Foster & Kokko (2006) paper, similar mechanisms are being described",No,Yes,,,,,,,,
2/15/2020 7:14:52,MA371,KJB,Modelling/theory,Group persistence,Intra-specific (within population),NA,model 1 : Share of group productivity allocated to partner and partner's threshold for group dissolution. Model 2: competitive ability of both partners,"The traits don't really vary (multiple trait values are being considered, but populations with multiple trait values in them at the same time are not)","No, although relatedness is taken as a parameter.",Individuals,Not in the sense that we are looking for. Group dissolution is discussed though as the outcome of an interaction.,Mutualistic to antagonistic,The willingness to share the group productivity.,unknown,"Yes, in the sense that the paper distinguishes two types of individuals that play different roles (leaders and subordinates).",NA,No,No,There is no evidence of trait variation,,,,,,,
2/15/2020 9:06:36,MA252,KJB,Modelling/theory,mutualism-exploitation,Inter-specific (2 species),focuses on cleaner and client systems,time until client terminates interaction and degree of cooperation by the cleaner,No real variation is explored,No,Populations,"Yes, but it depends on the relative frequency of cleaners vs. clients, not on variation in their trait values",Less (abundance) of cleaners leads to greater exploitation and longer times until interactions are terminated,Risk of not finding a new cleaner again vs. the risk of being exploited by the current cleaner.,NA,Not clearly.,,"No variation within a population, comparisons are more across different hypothetical populations that are characterized by different densities.",No,There is no evidence of trait variation,,,,,,,
2/15/2020 9:19:46,MA54,KJB,Review,,,"Multiple primate species, with additional focus on chlorocebus",sex and rank,NA,NA,NA,"No, it shows differences across individuals and species though.",NA,NA,NA,"Possibly, individuals are described to have different aggression levels based on their rank and/or sex.",I am not sure whether I could evaluate this paper properly.,No,Maybe,the link between trait variation and quality of the interaction is relatively unexplored.,,,,,,,
2/15/2020 10:23:58,MA345,KJB,Modelling/theory,Competition-cooperation,Intra-specific (within population),NA,"Discrete types, cooperator type and defector type",NA,NA,Populations,"Yes, abiotic factors (degree of clustering) affect whether cooperators are maintained in the population.",Antagonistic to mutualistic,Abiotic,Population density,"Maybe, there are two discrecte types that can be maintained.",NA,No clear connection between trait *variation* and interaction.,No,There is no evidence of trait variation,,,,,,,
