"","abstract.id","title.x","abstract.x","screener.id.x","decision.x","scale.x","topic.x","notes.x","title.y","abstract.y","screener.id.y","decision.y","scale.y","topic.y","notes.y"
"324","MA390","The varying relationship between helping and individual quality","Individuals of different quality often differ in their helping behavior, but sometimes it is the high-quality individuals who help most (e.g., human meat sharing, vigilance) and other times it is the low-quality individuals (e.g., reproductive queues, primate grooming). We argue that these differences depend on individual differences in the performance costs of actually helping, the opportunity costs from forsaking alternative activities, and the fitness benefits for engaging the help. If helping is more difficult for some individuals to do (quality-dependent help), it will usually be done by high-quality individuals, whereas help that all individuals could do equally well (quality-independent help) will be done by whoever pays lower opportunity costs. Our model makes novel predictions about many kinds of helping, allows us to categorize different types of helping by their relationship with individual quality, and is general enough to apply to many situations. Furthermore, it can be generalized to any other type of (nonhelping) behavior where there are individual differences in benefits, performance costs, or opportunity costs.","JW","include","intraspecific","social behavior","","The varying relationship between helping and individual quality","Individuals of different quality often differ in their helping behavior, but sometimes it is the high-quality individuals who help most (e.g., human meat sharing, vigilance) and other times it is the low-quality individuals (e.g., reproductive queues, primate grooming). We argue that these differences depend on individual differences in the performance costs of actually helping, the opportunity costs from forsaking alternative activities, and the fitness benefits for engaging the help. If helping is more difficult for some individuals to do (quality-dependent help), it will usually be done by high-quality individuals, whereas help that all individuals could do equally well (quality-independent help) will be done by whoever pays lower opportunity costs. Our model makes novel predictions about many kinds of helping, allows us to categorize different types of helping by their relationship with individual quality, and is general enough to apply to many situations. Furthermore, it can be generalized to any other type of (nonhelping) behavior where there are individual differences in benefits, performance costs, or opportunity costs.","NM","include","intraspecific","theoretical/modelling; competition-cooperation",""
"330","MA396","Traps of carnivorous pitcher plants as a habitat: Composition of the fluid, biodiversity and mutualistic activities"," Background: Carnivorous pitcher plants (CPPs) use cone-shaped leaves to trap animals for nutrient supply but are not able to kill all intruders of their traps. Numerous species, ranging from bacteria to vertrebrates, survive and propagate in the otherwise deadly traps. This paper reviews the literature on phytotelmata of CPPs.  Pitcher Fluid as a Habitat: The volumes of pitchers range from 02 mL to 15 L. In Nepenthes and Cephalotus, the fluid is secreted by the trap; the other genera collect rain water. The fluid is usually acidic, rich in O2 and contains digestive enzymes. In some taxa, toxins or detergents are found, or the fluid is extremely viscous. In Heliamphora or Sarracenia, the fluid differs little from pure water.  Inquiline Diversity: Pitcher inquilines comprise bacteria, protozoa, algae, fungi, rotifers, crustaceans, arachnids, insects and amphibia. The dominant groups are protists and Dipteran larvae. The various species of CPPs host different sets of inquilines. Sarracenia purpurea hosts up to 165 species of inquilines, followed by Nepenthes ampullaria with 59 species, compared with only three species from Brocchinia reducta. Reasons for these differences include size, the life span of the pitcher as well as its fluid.  Mutualistic Activities: Inquilines closely interact with their host. Some live as parasites, but the vast majority are mutualists. Beneficial activities include secretion of enzymes, feeding on the plants prey and successive excretion of inorganic nutrients, mechanical break up of the prey, removal of excessive prey and assimilation of atmospheric N2.  Conclusions: There is strong evidence that CPPs influence their phytotelm. Two strategies can be distinguished: (1) Nepenthes and Cephalotus produce acidic, toxic or digestive fluids and host a limited diversity of inquilines. (2) Genera without efficient enzymes such as Sarracenia or Heliamphora host diverse organisms and depend to a large extent on their symbionts for prey utilization.  The Author 2010. Published by Oxford University Press on behalf of the Annals of Botany Company. All rights reserved.","JW","include","interspecific","review","","Traps of carnivorous pitcher plants as a habitat: Composition of the fluid, biodiversity and mutualistic activities"," Background: Carnivorous pitcher plants (CPPs) use cone-shaped leaves to trap animals for nutrient supply but are not able to kill all intruders of their traps. Numerous species, ranging from bacteria to vertrebrates, survive and propagate in the otherwise deadly traps. This paper reviews the literature on phytotelmata of CPPs.  Pitcher Fluid as a Habitat: The volumes of pitchers range from 02 mL to 15 L. In Nepenthes and Cephalotus, the fluid is secreted by the trap; the other genera collect rain water. The fluid is usually acidic, rich in O2 and contains digestive enzymes. In some taxa, toxins or detergents are found, or the fluid is extremely viscous. In Heliamphora or Sarracenia, the fluid differs little from pure water.  Inquiline Diversity: Pitcher inquilines comprise bacteria, protozoa, algae, fungi, rotifers, crustaceans, arachnids, insects and amphibia. The dominant groups are protists and Dipteran larvae. The various species of CPPs host different sets of inquilines. Sarracenia purpurea hosts up to 165 species of inquilines, followed by Nepenthes ampullaria with 59 species, compared with only three species from Brocchinia reducta. Reasons for these differences include size, the life span of the pitcher as well as its fluid.  Mutualistic Activities: Inquilines closely interact with their host. Some live as parasites, but the vast majority are mutualists. Beneficial activities include secretion of enzymes, feeding on the plants prey and successive excretion of inorganic nutrients, mechanical break up of the prey, removal of excessive prey and assimilation of atmospheric N2.  Conclusions: There is strong evidence that CPPs influence their phytotelm. Two strategies can be distinguished: (1) Nepenthes and Cephalotus produce acidic, toxic or digestive fluids and host a limited diversity of inquilines. (2) Genera without efficient enzymes such as Sarracenia or Heliamphora host diverse organisms and depend to a large extent on their symbionts for prey utilization.  The Author 2010. Published by Oxford University Press on behalf of the Annals of Botany Company. All rights reserved.","MW","include","interspecific","Host-symbiont, review",""
"333","MA399","Under high stakes and uncertainty the rich should lend the poor a helping hand","In social dilemmas, there is tension between individual incentives to optimize personal gain versus social benefits. An additional cause of conflict in such social dilemmas is heterogeneity. Cultural differences or financial inequity often interfere with decision making when a diverse group of individuals interact. We address these issues in situations where individuals are either rich or poor. Often, it is unclear how rich and poor individuals should interact should the poor invest the same as the rich, or should the rich assist the poor? Which distribution of efforts can be considered as fair? To address the effects of heterogeneity on decisions, we model a collective-risk dilemma where players collectively have to invest more than a certain threshold, with heterogeneity and multiple rounds. We aim to understand the natural behavior and to infer which strategies are particularly stable in such asymmetric collective-risk games. Large scale individual based simulations show that when the poor players have half of the wealth the rich players posses, the poor contribute only when early contributions are made by the rich players. The rich contribute on behalf of the poor only when their own external assets are worth protecting. Under a certain degree of uncertainty we observe the rich maintain cooperation by assisting the poor. (C) 2013 Elsevier Ltd. All rights reserved.","CM","include","intraspecific","theoretical/modelling, cooperation",NA,"Under high stakes and uncertainty the rich should lend the poor a helping hand","In social dilemmas, there is tension between individual incentives to optimize personal gain versus social benefits. An additional cause of conflict in such social dilemmas is heterogeneity. Cultural differences or financial inequity often interfere with decision making when a diverse group of individuals interact. We address these issues in situations where individuals are either rich or poor. Often, it is unclear how rich and poor individuals should interact should the poor invest the same as the rich, or should the rich assist the poor? Which distribution of efforts can be considered as fair? To address the effects of heterogeneity on decisions, we model a collective-risk dilemma where players collectively have to invest more than a certain threshold, with heterogeneity and multiple rounds. We aim to understand the natural behavior and to infer which strategies are particularly stable in such asymmetric collective-risk games. Large scale individual based simulations show that when the poor players have half of the wealth the rich players posses, the poor contribute only when early contributions are made by the rich players. The rich contribute on behalf of the poor only when their own external assets are worth protecting. Under a certain degree of uncertainty we observe the rich maintain cooperation by assisting the poor. (C) 2013 Elsevier Ltd. All rights reserved.","PT","include","intraspecific","model/theory",""
"337","MA401","Variable ecological conditions promote male helping by changing banded mongoose group composition","Ecological conditions are expected to have an important influence on individuals' investment in cooperative care. However, the nature of their effects is unclear: both favorable and unfavorable conditions have been found to promote helping behavior. Recent studies provide a possible explanation for these conflicting results by suggesting that increased ecological variability, rather than changes in mean conditions, promote cooperative care. However, no study has tested whether increased ecological variability promotes individual-level helping behavior or the mechanisms involved. We test this hypothesis in a long-term study population of the cooperatively breeding banded mongoose, Mungos mungo, using 14 years of behavioral and meteorological data to explore how the mean and variability of ecological conditions influence individual behavior, body condition, and survival. Female body condition was more sensitive to changes in rainfall leading to poorer female survival and pronounced male-biased group compositions after periods of high rainfall variability. After such periods, older males invested more in helping behavior, potentially because they had fewer mating opportunities. These results provide the first empirical evidence for increased individual helping effort in more variable ecological conditions and suggest this arises because of individual differences in the effect of ecological conditions on body condition and survival, and the knock-on effect on social group composition. Individual differences in sensitivity to environmental variability, and the impacts this has on the internal structure and composition of animal groups, can exert a strong influence on the evolution and maintenance of social behaviors, such as cooperative care.","CF","include","intraspecific","sociality, helping","","Variable ecological conditions promote male helping by changing banded mongoose group composition","Ecological conditions are expected to have an important influence on individuals' investment in cooperative care. However, the nature of their effects is unclear: both favorable and unfavorable conditions have been found to promote helping behavior. Recent studies provide a possible explanation for these conflicting results by suggesting that increased ecological variability, rather than changes in mean conditions, promote cooperative care. However, no study has tested whether increased ecological variability promotes individual-level helping behavior or the mechanisms involved. We test this hypothesis in a long-term study population of the cooperatively breeding banded mongoose, Mungos mungo, using 14 years of behavioral and meteorological data to explore how the mean and variability of ecological conditions influence individual behavior, body condition, and survival. Female body condition was more sensitive to changes in rainfall leading to poorer female survival and pronounced male-biased group compositions after periods of high rainfall variability. After such periods, older males invested more in helping behavior, potentially because they had fewer mating opportunities. These results provide the first empirical evidence for increased individual helping effort in more variable ecological conditions and suggest this arises because of individual differences in the effect of ecological conditions on body condition and survival, and the knock-on effect on social group composition. Individual differences in sensitivity to environmental variability, and the impacts this has on the internal structure and composition of animal groups, can exert a strong influence on the evolution and maintenance of social behaviors, such as cooperative care.","PT","include","intraspecific","cooperative breeding",""
"341","MA405","Variation in individual investment strategies among social animals","Cooperation and conflict are ubiquitous features of life in the vast majority of animals and can occur over a wide range of functional contents and at various levels. In this review I describe known and less well-known proximate aspects of cooperation and conflict over reproductive behaviour in social animals, where individuals other than the genetic parents contribute to the provisioning of care ('alloparental care'). Traditionally the evolution of alloparental care is viewed as a two-step process: the decision to delay dispersal and independent breeding, usually as a consequence of the existence of constraints on independent breeding, and the decision to behave as alloparents by which individuals that have delayed dispersal gain a net fitness benefit. Behavioural ecological theory generally assumes that all individuals are similar in 'make-up' and that life history and behavioural decisions are facultative. However, there is probably more individual variation in the amount and type of social behaviour than originally anticipated. Here, I demonstrate that some of these differences in behaviours are because of environmental factors, which may be associated with 'reaction norms' or the genotype's quantitative phenotypic variation, or which may yield polyethisms. Most evolutionary models of animal cooperation are based on optimality approaches that do not consider individual genetic variation and maternal effects on the variation in the expression of social behaviour. Further research on the genetic basis of cooperations and subordinate-breeder interactions may be crucial for understanding the evolution of social behaviour. If we take individual differences into account our conclusions and explanations of social behaviour may change. Given the conceptual similarities between the various research disciplines addressing different types of cooperation and conflict over investment, the issues described here should lead to more mutual attraction between the different disciplines and stimulate further development in our understanding of cooperation strategies in general.  2006 The Author.","CM","include","intraspecific","review, cooperation, conflict",NA,"Variation in individual investment strategies among social animals","Cooperation and conflict are ubiquitous features of life in the vast majority of animals and can occur over a wide range of functional contents and at various levels. In this review I describe known and less well-known proximate aspects of cooperation and conflict over reproductive behaviour in social animals, where individuals other than the genetic parents contribute to the provisioning of care ('alloparental care'). Traditionally the evolution of alloparental care is viewed as a two-step process: the decision to delay dispersal and independent breeding, usually as a consequence of the existence of constraints on independent breeding, and the decision to behave as alloparents by which individuals that have delayed dispersal gain a net fitness benefit. Behavioural ecological theory generally assumes that all individuals are similar in 'make-up' and that life history and behavioural decisions are facultative. However, there is probably more individual variation in the amount and type of social behaviour than originally anticipated. Here, I demonstrate that some of these differences in behaviours are because of environmental factors, which may be associated with 'reaction norms' or the genotype's quantitative phenotypic variation, or which may yield polyethisms. Most evolutionary models of animal cooperation are based on optimality approaches that do not consider individual genetic variation and maternal effects on the variation in the expression of social behaviour. Further research on the genetic basis of cooperations and subordinate-breeder interactions may be crucial for understanding the evolution of social behaviour. If we take individual differences into account our conclusions and explanations of social behaviour may change. Given the conceptual similarities between the various research disciplines addressing different types of cooperation and conflict over investment, the issues described here should lead to more mutual attraction between the different disciplines and stimulate further development in our understanding of cooperation strategies in general.  2006 The Author.","MW","include","intraspecific","cooperation, review",""
"344","MA408","When cooperation begets cooperation: The role of key individuals in galvanizing support","Life abounds with examples of conspecifics actively cooperating to a common end, despite conflicts of interest being expected concerning how much each individual should contribute. Mathematical models typically find that such conflict can be resolved by partial-response strategies, leading investors to contribute relatively equitably. Using a case study approach, we show that such model expectations can be contradicted in at least four disparate contexts: (i) bi-parental care; (ii) cooperative breeding; (iii) cooperative hunting; and (iv) human cooperation. We highlight that: (a) marked variation in contributions is commonplace; and (b) individuals can often respond positively rather than negatively to the contributions of others. Existing models have surprisingly limited power in explaining these phenomena. Here, we propose that, although among-individual variation in cooperative contributions will be influenced by differential costs and benefits, there is likely to be a strong genetic or epigenetic component. We then suggest that selection can maintain high investors (key individuals) when their contributions promote support by increasing the benefits and/or reducing the costs for others. Our intentions are to raise awareness inand provide testable hypotheses oftwo of the most poorly understood, yet integral, questions regarding cooperative ventures: why do individuas vary in their contributions and when does cooperation beget cooperation?.  2015 The Author(s) Published by the Royal Society. All rights reserved.","JW","include","intraspecific","social behavior","","When cooperation begets cooperation: The role of key individuals in galvanizing support","Life abounds with examples of conspecifics actively cooperating to a common end, despite conflicts of interest being expected concerning how much each individual should contribute. Mathematical models typically find that such conflict can be resolved by partial-response strategies, leading investors to contribute relatively equitably. Using a case study approach, we show that such model expectations can be contradicted in at least four disparate contexts: (i) bi-parental care; (ii) cooperative breeding; (iii) cooperative hunting; and (iv) human cooperation. We highlight that: (a) marked variation in contributions is commonplace; and (b) individuals can often respond positively rather than negatively to the contributions of others. Existing models have surprisingly limited power in explaining these phenomena. Here, we propose that, although among-individual variation in cooperative contributions will be influenced by differential costs and benefits, there is likely to be a strong genetic or epigenetic component. We then suggest that selection can maintain high investors (key individuals) when their contributions promote support by increasing the benefits and/or reducing the costs for others. Our intentions are to raise awareness inand provide testable hypotheses oftwo of the most poorly understood, yet integral, questions regarding cooperative ventures: why do individuas vary in their contributions and when does cooperation beget cooperation?.  2015 The Author(s) Published by the Royal Society. All rights reserved.","MW","include","intraspecific","cooperation/conflict, modeling",""
"345","MA409","When mutualisms matter: Rhizobia effects on plant communities depend on host plant population and soil nitrogen availability","Mutualistic interactions, such as the relationship between legumes and rhizobia, can affect community properties, yet there needs to be greater understanding of when these interactions may be most important to communities. Resource mutualism theory provides predictions based on variation in abiotic and biotic factors. First, there is substantial intraspecific genetic variation in how legumes interact with rhizobia, including variation in legume growth response to rhizobia, number of rhizobia-housing nodules and nitrogen fixation. Rhizobia likely have greater community impacts when associating with hosts that benefit greatly from rhizobia, produce many nodules and fix a lot of nitrogen. Second, increased soil nutrient availability typically reduces the partner benefits of legume-rhizobium interactions. As a result, the legume-rhizobium resource mutualism may have greater effects on communities in low-nitrogen environments. We first conducted a common garden study of the annual legume Chamaecrista fasciculata to explore intraspecific variation in focal traits related to competition and mutualistic interactions with rhizobia. Then, we manipulated the presence of rhizobia, nitrogen fertilization and population identity of C.fasciculata in mesocosms simulating native plant communities. We measured plant diversity, assessed changes in community composition and measured soil nutrient availability. We detected significant genetically based intraspecific variation in growth and mutualism-related traits across C.fasciculata populations. From the experimental mesocosms, we found that although rhizobia consistently reduced diversity, rhizobia most strongly reduced diversity when associating with C.fasciculata populations that were highly dependent on rhizobia and when nitrogen was most limiting. We also detected greater variation among populations in their effects on communities in the absence of rhizobia; the presence of rhizobia dramatically minimized effects of population identity on the surrounding community.Synthesis. These findings show that abiotic environmental factors and intraspecific variation in a dominant host plant can influence the magnitude of mutualism effects on communities and, reciprocally, how the presence of key mutualists can influence the importance of genetically based variation among populations to community outcomes. While prior studies have detected both strong and weak effects of mutualism on plant communities, our study illustrates that mutualism theory may predict when strong mutualism effects are most likely to occur and also shows how theories developed for particular species interactions may make studies investigating the ecological impacts of genetic variation a more predictive science.","JW","include","interspecific","mutualism","","When mutualisms matter: Rhizobia effects on plant communities depend on host plant population and soil nitrogen availability","Mutualistic interactions, such as the relationship between legumes and rhizobia, can affect community properties, yet there needs to be greater understanding of when these interactions may be most important to communities. Resource mutualism theory provides predictions based on variation in abiotic and biotic factors. First, there is substantial intraspecific genetic variation in how legumes interact with rhizobia, including variation in legume growth response to rhizobia, number of rhizobia-housing nodules and nitrogen fixation. Rhizobia likely have greater community impacts when associating with hosts that benefit greatly from rhizobia, produce many nodules and fix a lot of nitrogen. Second, increased soil nutrient availability typically reduces the partner benefits of legume-rhizobium interactions. As a result, the legume-rhizobium resource mutualism may have greater effects on communities in low-nitrogen environments. We first conducted a common garden study of the annual legume Chamaecrista fasciculata to explore intraspecific variation in focal traits related to competition and mutualistic interactions with rhizobia. Then, we manipulated the presence of rhizobia, nitrogen fertilization and population identity of C.fasciculata in mesocosms simulating native plant communities. We measured plant diversity, assessed changes in community composition and measured soil nutrient availability. We detected significant genetically based intraspecific variation in growth and mutualism-related traits across C.fasciculata populations. From the experimental mesocosms, we found that although rhizobia consistently reduced diversity, rhizobia most strongly reduced diversity when associating with C.fasciculata populations that were highly dependent on rhizobia and when nitrogen was most limiting. We also detected greater variation among populations in their effects on communities in the absence of rhizobia; the presence of rhizobia dramatically minimized effects of population identity on the surrounding community.Synthesis. These findings show that abiotic environmental factors and intraspecific variation in a dominant host plant can influence the magnitude of mutualism effects on communities and, reciprocally, how the presence of key mutualists can influence the importance of genetically based variation among populations to community outcomes. While prior studies have detected both strong and weak effects of mutualism on plant communities, our study illustrates that mutualism theory may predict when strong mutualism effects are most likely to occur and also shows how theories developed for particular species interactions may make studies investigating the ecological impacts of genetic variation a more predictive science.","PT","include","interspecific","mutualisms",""
"354","MA47","Climate Change and Phenological Mismatch in Trophic Interactions Among Plants, Insects, and Vertebrates","Phenological mismatch results when interacting species change the timing of regularly repeated phases in their life cycles at different rates. We review whether this continuously ongoing phenomenon, also known as trophic asynchrony, is becoming morecommonunder ongoing rapid climate change. In antagonistic trophic interactions, any mismatch will have negative impacts for only one of the species, whereas in mutualistic interactions, both partners are expected to suffer. Trophic mismatch is therefore expected to last for evolutionarily short periods, perhaps only a few seasons, adding to the difficulty of attributing it to climate change, which requires long-term data. So far, the prediction that diverging phenologies linked to climate change will cause mismatch is most clearly met in antagonistic interactions at high latitudes in the Artic. There is limited evidence of phenological mismatch in mutualistic interactions, possibly because of strong selection on mutualists to have co-adapted phenological strategies. The study of individual plasticity, population variation, and the genetic bases for phenological strategies is in its infancy. Recent work on woody plants revealed the large imprint of historic climate change on temperature, chilling, and day-length thresholds used by different species to synchronize their phenophases, which in the Northern Hemisphere has led to biogeographic phenological regions inwhich long-lived plants have adapted to particular interannual and intermillennial amplitudes of climate change.","CM","include","interspecific","mutualism-antagonism",NA,"Climate Change and Phenological Mismatch in Trophic Interactions Among Plants, Insects, and Vertebrates","Phenological mismatch results when interacting species change the timing of regularly repeated phases in their life cycles at different rates. We review whether this continuously ongoing phenomenon, also known as trophic asynchrony, is becoming morecommonunder ongoing rapid climate change. In antagonistic trophic interactions, any mismatch will have negative impacts for only one of the species, whereas in mutualistic interactions, both partners are expected to suffer. Trophic mismatch is therefore expected to last for evolutionarily short periods, perhaps only a few seasons, adding to the difficulty of attributing it to climate change, which requires long-term data. So far, the prediction that diverging phenologies linked to climate change will cause mismatch is most clearly met in antagonistic interactions at high latitudes in the Artic. There is limited evidence of phenological mismatch in mutualistic interactions, possibly because of strong selection on mutualists to have co-adapted phenological strategies. The study of individual plasticity, population variation, and the genetic bases for phenological strategies is in its infancy. Recent work on woody plants revealed the large imprint of historic climate change on temperature, chilling, and day-length thresholds used by different species to synchronize their phenophases, which in the Northern Hemisphere has led to biogeographic phenological regions inwhich long-lived plants have adapted to particular interannual and intermillennial amplitudes of climate change.","PT","include","both","Review",""
"355","MA48","Coalitions destabilize dyadic dominance relationships in male Barbary macaques (Macaca sylvanus)","Dyadic agonistic dominance relationships are thought to result from asymmetries in both intrinsic and extrinsic power. One form of extrinsic power is the ability to solicit agonistic support from other individuals. In extreme cases extrinsic power differences may override intrinsic power differences so that physically inferior individuals attain rank positions above stronger competitors. In other cases superior extrinsic power in physically inferior individuals may destabilize the otherwise clear dominance relationships. We tested this prediction with observational data on adult males in one of three free-ranging groups of Barbary macaques at Affenberg Salem, Germany. All prime males that were subjects of this study were at least 5-8 years (average 10 years) younger than the old post-prime males that were all subordinate to them. Assuming large age differences to reflect large intrinsic/physical power differences, interactions between these prime and the old males allowed investigation of the separate effects of intrinsic and extrinsic power asymmetries on dominance relationships. We estimated relationship instability using four different estimates (counter aggression, conflicts initiated by aggression from the subordinate, spontaneous submissions by dominants, and decided conflicts won by the subordinate). Relationship instability did not decrease with increasing asymmetry in intrinsic power. Instead, all four measures of relationship instability were positively related to the number of times the dominant in a dyad was target of destabilizing coalitions. Destabilizing coalitions targeted dominant males in old male-prime male dyads more often than in old male-old male dyads. Consequently, old males had less stable relationships with the much stronger prime males than with each other. We conclude that extrinsic power asymmetries predicted the instability of dyadic dominance relationships and may systematically override intrinsic power asymmetries.","CM","include","intraspecific","dominance, group stability",NA,"Coalitions destabilize dyadic dominance relationships in male Barbary macaques (Macaca sylvanus)","Dyadic agonistic dominance relationships are thought to result from asymmetries in both intrinsic and extrinsic power. One form of extrinsic power is the ability to solicit agonistic support from other individuals. In extreme cases extrinsic power differences may override intrinsic power differences so that physically inferior individuals attain rank positions above stronger competitors. In other cases superior extrinsic power in physically inferior individuals may destabilize the otherwise clear dominance relationships. We tested this prediction with observational data on adult males in one of three free-ranging groups of Barbary macaques at Affenberg Salem, Germany. All prime males that were subjects of this study were at least 5-8 years (average 10 years) younger than the old post-prime males that were all subordinate to them. Assuming large age differences to reflect large intrinsic/physical power differences, interactions between these prime and the old males allowed investigation of the separate effects of intrinsic and extrinsic power asymmetries on dominance relationships. We estimated relationship instability using four different estimates (counter aggression, conflicts initiated by aggression from the subordinate, spontaneous submissions by dominants, and decided conflicts won by the subordinate). Relationship instability did not decrease with increasing asymmetry in intrinsic power. Instead, all four measures of relationship instability were positively related to the number of times the dominant in a dyad was target of destabilizing coalitions. Destabilizing coalitions targeted dominant males in old male-prime male dyads more often than in old male-old male dyads. Consequently, old males had less stable relationships with the much stronger prime males than with each other. We conclude that extrinsic power asymmetries predicted the instability of dyadic dominance relationships and may systematically override intrinsic power asymmetries.","NM","include","intraspecific","competition-cooperation; social hierarchies/networks",""
"360","MA52","Collective action problem in heterogeneous groups","I review the theoretical and experimental literature on the collective action problem in groups whose members differ in various characteristics affecting individual costs, benefits and preferences in collective actions. I focus on evolutionary models that predict how individual efforts and fitnesses, group efforts and the amount of produced collective goods depend on the groups size and heterogeneity, as well as on the benefit and cost functions and parameters. I consider collective actions that aim to overcome the challenges from nature or win competition with neighbouring groups of co-specifics. I show that the largest contributors towards production of collective goods will typically be group members with the highest stake in it or for whom the effort is least costly, or those who have the largest capability or initial endowment. Under some conditions, such group members end up with smaller net pay-offs than the rest of the group. That is, they effectively behave as altruists. With weak nonlinearity in benefit and cost functions, the group effort typically decreases with group size and increases with within-group heterogeneity. With strong nonlinearity in benefit and cost functions, these patterns are reversed. I discuss the implications of theoretical results for animal behaviour, human origins and psychology.  2015 The Author(s) Published by the Royal Society. All rights reserved.","KJB","include","intraspecific","review","","Collective action problem in heterogeneous groups","I review the theoretical and experimental literature on the collective action problem in groups whose members differ in various characteristics affecting individual costs, benefits and preferences in collective actions. I focus on evolutionary models that predict how individual efforts and fitnesses, group efforts and the amount of produced collective goods depend on the groups size and heterogeneity, as well as on the benefit and cost functions and parameters. I consider collective actions that aim to overcome the challenges from nature or win competition with neighbouring groups of co-specifics. I show that the largest contributors towards production of collective goods will typically be group members with the highest stake in it or for whom the effort is least costly, or those who have the largest capability or initial endowment. Under some conditions, such group members end up with smaller net pay-offs than the rest of the group. That is, they effectively behave as altruists. With weak nonlinearity in benefit and cost functions, the group effort typically decreases with group size and increases with within-group heterogeneity. With strong nonlinearity in benefit and cost functions, these patterns are reversed. I discuss the implications of theoretical results for animal behaviour, human origins and psychology.  2015 The Author(s) Published by the Royal Society. All rights reserved.","NM","include","intraspecific","theoretical/modelling; competition-cooperation",""
"362","MA54","Communal range defence in primates as a public goods dilemma","Classic socio-ecological theory holds that the occurrence of aggressive range defence is primarily driven by ecological incentives, most notably by the economic defendability of an area or the resources it contains. While this ecological cost-benefit framework has great explanatory power in solitary or pair-living species, comparative work on group-living primates has always found economic defendability to be a necessary, but not sufficient condition to account for the distribution of effective range defence across the taxon. This mismatch between theory and observation has recently been ascribed to a collective action problem among group members in, what is more informatively viewed as, a public goods dilemma: mounting effective defence of a communal range against intrusions by outgroup conspecifics. We here further develop this framework, and report on analyses at three levels of biological organization: across species, across populations within a single lineage and across groups and individuals within a single population. We find that communal range defence in primates very rarely involves collective action sensu stricto and that it is best interpreted as the outcome of opportunistic and strategic individual-level decisions. Whether the public good of a defended communal range is produced by solitary, joint or collective action is thus the outcome of the interplay between the unique characteristics of each individual, local and current socio-ecological conditions, and fundamental life-history traits of the species.  2015 The Author(s) Published by the Royal Society. All rights reserved.","JW","include","intraspecific","social behavior","","Communal range defence in primates as a public goods dilemma","Classic socio-ecological theory holds that the occurrence of aggressive range defence is primarily driven by ecological incentives, most notably by the economic defendability of an area or the resources it contains. While this ecological cost-benefit framework has great explanatory power in solitary or pair-living species, comparative work on group-living primates has always found economic defendability to be a necessary, but not sufficient condition to account for the distribution of effective range defence across the taxon. This mismatch between theory and observation has recently been ascribed to a collective action problem among group members in, what is more informatively viewed as, a public goods dilemma: mounting effective defence of a communal range against intrusions by outgroup conspecifics. We here further develop this framework, and report on analyses at three levels of biological organization: across species, across populations within a single lineage and across groups and individuals within a single population. We find that communal range defence in primates very rarely involves collective action sensu stricto and that it is best interpreted as the outcome of opportunistic and strategic individual-level decisions. Whether the public good of a defended communal range is produced by solitary, joint or collective action is thus the outcome of the interplay between the unique characteristics of each individual, local and current socio-ecological conditions, and fundamental life-history traits of the species.  2015 The Author(s) Published by the Royal Society. All rights reserved.","NM","include","both","theoretical/modelling; competition-cooperation",""
"371","MA62","COMPETITION VERSUS COOPERATION - SUCCESS OF INDIVIDUALS FORAGING ALONE AND IN GROUPS","Using a variant of information-sharing models, we examine the pros and cons of group foraging against the alternative of staying alone. Models of this category-assuming that in groups food finding by one results in food sharing by many-conclude that patch-finding rate improves with group size. In our modification interference among individuals reduces pooled searching efficiency of the group. We introduce a term, s, the probability of an individual's being among the ones sharing the food in a patch found by the group. Not unexpectedly, these fine-tunings prolong food-finding rates that push individuals in the group toward the foraging status of a solitary individual. With phenotype-related differences in s, foraging in groups turns out to be a less profitable option the lower an individual is ranked in the group. The model suggests that, in terms of food finding, individuals have to pay attention to their performance in the foraging group. The option of foraging alone may easily be a better strategy than that of a low-ranking individual foraging in a group. If so, the model also suggests groups assorted by phenotype.","CM","include","intraspecific","theoretical/modelling, cooperation",NA,"COMPETITION VERSUS COOPERATION - SUCCESS OF INDIVIDUALS FORAGING ALONE AND IN GROUPS","Using a variant of information-sharing models, we examine the pros and cons of group foraging against the alternative of staying alone. Models of this category-assuming that in groups food finding by one results in food sharing by many-conclude that patch-finding rate improves with group size. In our modification interference among individuals reduces pooled searching efficiency of the group. We introduce a term, s, the probability of an individual's being among the ones sharing the food in a patch found by the group. Not unexpectedly, these fine-tunings prolong food-finding rates that push individuals in the group toward the foraging status of a solitary individual. With phenotype-related differences in s, foraging in groups turns out to be a less profitable option the lower an individual is ranked in the group. The model suggests that, in terms of food finding, individuals have to pay attention to their performance in the foraging group. The option of foraging alone may easily be a better strategy than that of a low-ranking individual foraging in a group. If so, the model also suggests groups assorted by phenotype.","NM","include","intraspecific","theoretical/modelling; competition-cooperation; social hierarchies/networks; feeding-foraging",""
