abstract.id,sort.id,FulltextReviewer.initial,title,author,short_citation,StudyType,StudyType_Processed,TaskforceAllocation,Scale,What.is.the.scale.of.the.shift,Scale_Processed,FulltextTopicIdentifier,InteractionType,InteractionType_Processed,journal,volume,number,pages,year,doi,Timestamp,FulltextReviewer,SpeciesInteracting,Species_Processed,TraitDescription,SpeciesTraitVariation,GeneticNotes,Trait_Processed,Is.there.a.shift.in.the.interaction,What.is.the.direction.of.shift,What.factors.are.driving.that.shift,What.is.the.ecological.impact.of.the.interaction.and.shift.of.that.interaction,Shift_Processed,Is.there.a.connection.to.the.NC3,Reviewer.notes,Reviewer.outstanding.concerns,ReviewerDecision,ReviewerDecisionReason,ReviewerDecision.checked.by,FinalDecision,FinalDecisionReason,FinalDecisionNotes,used in main text?,WOS,SCO
MA310,53,RR,Rethinking Mutualism Stability: Cheaters and the Evolution of Sanctions,"Frederickson, Megan E.","(Frederickson, 2013)",Review,Review,Interspecific,Inter-specific (2 species),NA,Inter- and Intraspecific,host-symbiont,Host-symbiont,Host-symbiont; Consumer-resource/plant-animal,QUARTERLY REVIEW OF BIOLOGY,88,4,269-295,2013,10.1086/673757,3/14/2020 3:28:06,RR,"Yucca-yucca moth, fig-figwasps and legume-rhizobium mutualism","yuccas (	genus Yucca); yucca moths (family Prodoxidae); figs (genus Ficus); fig wasps (superfamily Chalcidoidea); legumes (family Fabaceae); Rhizobium bacteria",NA,"NA, It broadly discuss that host plants impose selection for cooperative traits but doesnot discuss about variation in these particular traits",NA,NA,"no shift in mutualism- antagonism but says about cheaters in these mutualisms and if cheaters and sanctions coevolve in these mutualisms , but very little evidence for this",NA,NA,NA,"Review includes discussion of the cheaters and cooperator types, including mechanisms that control the presence of cheating phenotypes, with a focus on plant/animal interactions (yuccas-yucca moths, figs-fig wasps) and host/symbiont interactions (legumes-Rhizobium bacteria)",NA,no,no,Maybe,"There is no evidence of trait variation, There is no shift in the quality of the interaction, paper tries to see if cheaters and sanctions coevolve in mutualisms",NM,Include,,"Considering their dicussion of the role of cheaters and cooperators in fig-wasps, and the review of mechanisms that control the precense of cheating phenotypes to be relevant to shifts along the m-a continuum",Host-sym,y,
MA360,54,PT,Synthesizing perspectives on the evolution of cooperation within and between species,"Barker, J.L. and Bronstein, J.L. and Friesen, M.L. and Jones, E.I. and Reeve, H.K. and Zink, A.G. and Frederickson, M.E.","(Barker et al., 2017)",Synthesis (supposedly!),Review,Modelling,"Inter-specific (2 species), Intra-specific (within population), Intra-specific (between populations)","Individuals, Populations, Species",Inter- and Intraspecific,n/a,Competition-cooperation,Competition-cooperation,Evolution,71,4,814-825,2017,10.1111/evo.13174,44075.45285,PT,n/a,NA,"Level of cooperation, which in turn depends on various things like relatedness, resource-generating efficiency, competition, rates of evolution of asymmetric strategies, and outside options.",All.,No,NA,It focuses on the cooperation side.,"As usual, both -- depends on the circumstances.",Unspecified.,"Mainly just whether they cooperate or not (though left to the reader's imagination what that means if they're more efficient at foraging, etc.","Comparative review of cooperative-competitive interactions at the intra- and interspecific levels, including the role of genetic relatedness, resource-generation, levels of competition etc. in supporting and maintaining cooperative interactions","Yes, but it doesn't really get into niches.",,Mainly jsut about cooperation -- not antagonism.,Yes,,NM,Include,,Agree with reviewer decision,Coop-comp; Modelling,y,y
MA408,55,NM,When cooperation begets cooperation: The role of key individuals in galvanizing support,"McAuliffe, K. and Wrangham, R. and Glowacki, L. and Russell, A.F.","(McAuliffe et al., 2015)",Review,Review,Modelling,"Intra-specific (within population), Intra-specific (between populations)",Individuals,Intraspecific,n/a,Competition-cooperation,Male-female; Competition-cooperation,Philosophical Transactions of the Royal Society B: Biological Sciences,370,1683,NA,2015,10.1098/rstb.2015.0012,1/22/2020 1:53:14,NM,"NA (34 cas studies, each based on a variety of species examples)",various species,Behavioural: the level of individual investment in cooperative interactions,NA,"Yes, shows examples of species where there is genetically hertiable components to investment in cooperation; suggests there is also a epigenetic component",NA,"Yes, suggests individuals will vary in their investment in cooperative interactions based on the costs/benefits to the individual, but also due to heritable/genetic/epigenetic amoung individual behavioural variation","Mutualistic to antagonistic, Antagonistic to mutualistic","NA, suggests that pre-existing behavioural variation in populations will influence the interaction between individuals on a cooperation-competition continuum ","""bi-parental care; cooperative breeding; cooperative hunting; and human cooperation ""","Review of factors that contribute to individual differences in cooperative behaviour, including the cost-benefit of the behaviours and the role of genetic/epigenetic contributions",individual variation influencing between individual interactions,,,Yes,,MW,Include,,Agree with reviewer decision,Coop-comp,y,y
MA8,56,UE,Adaptations for social cognition in the primate brain,"Platt, M.L. and Seyfarth, R.M. and Cheney, D.L.","(Platt et al., 2016)",Review,Review,Intraspecific,Intra-specific (within population),Individuals,Intraspecific,competition-cooperation,Competition-cooperation,Competition-cooperation,Philosophical Transactions of the Royal Society B: Biological Sciences,371,1687,NA,2016,10.1098/rstb.2015.0096,43984.90983,UE,"Old world monkeys, e.g.baboons (Papio spp.), Assamese macaques, Macaca assamensis; Barbary macaques, Macaca sylvana; geladas, Theropithecus gelada, chimpanzees, Pan troglodytes; rhesus macaques, Macaca mulatta",Old World monkeys (family Cercopithecidae),"unclear, whether genetic, skills, motivation; some evidence for ""adaptive influence of genes on neural circuits and neuromodulatory systems mediating social function""",see Q6; experiments in Rhesus macaques,very little to date; some suggest some heritability (one study),NA,yes; individuals have to decide whether to cooperate and/or compete with each other,"Mutualistic to antagonistic, Antagonistic to mutualistic, can go forth and back, depending on the situation",likely individual decisions,[my interpretation:] selction for social behaviour,"Review of factors that determine cooperative or competitive responses to conspecifics at an intraspecific level, including the heritability of cooperative response traits, with a focus on primates","yes, individual differences, personality",,"no clear shift, as individuals have to decide in each interaction whether they cooperate or compete",Yes,,NM,Include,,"Agree with reviewer decision, individual variation is considered in a range of neurological/behavioural traits that leads to variation along the m-a continuum",Coop-comp,y,y
MA270,57,JW,"Parasitism, personality and cognition in fish","Barber, I. and Mora, A.B. and Payne, E.M. and Weinersmith, K.L. and Sih, A.","(Barber et al., 2017)",Review,Review,Interspecific,Inter-specific (>2 species),Individuals,Intraspecific,host-symbiont,Host-symbiont,Competition-cooperation,Behavioural Processes,141,NA,205-219,2017,10.1016/j.beproc.2016.11.012,1/29/2020 3:03:30,JW,Teleost fish and many types of parasites,Teleosts (Actinopterygii); various fish parasites and symbionts,Behavioral variation,Hosts,,NA,Yes,Infection susceptibility (antagonistic),"ecological, social",Parasitism may effect the ecology and evolution of behavior,"Review covers individual variation in behavioural traits that influence an individual's susceptibility to infection, which influences social interactions with conspecifics and their cooperative-competitive balance, focusing on Teleost fish",Yes,NA,No,Yes,,NM,Include,,"Agree with reviewer decision, review covers individual variation in behavioural traits that influence intraspecific social interactions and their (cooperative-competitive balance)",Coop-comp,,y
MA63,58,MW,Competitive altruism: from reciprocity to the handicap principle,"Roberts, G","(Roberts, 1998)","Modelling/theory, Review",Review,Modelling,Intra-specific (within population),Populations,Intraspecific,n/a,Competition-cooperation,Competition-cooperation,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,265,1394,427-431,1998,10.1098/rspb.1998.0312,43862.97858,MW,NA,NA,generosity,NA,NA,NA,yes,depends,e.g. the extent to which partner choice is possible,NA,"Theoretical review discusses how individual variation in 'generosity' contributes to the formation of altruistic cooperative relationships, particularly in non-kin interactions",NA,"Key sentence: ""introducing individual differences in generosity combined with partner choice can lead to competition for partners and thereby to an escalation in generosity which is rewarded by greater benefits for those which choose to or can invest more""",NA,Yes,,NM,Include,,Agree with reviewer decision,Coop-comp,y,y
MA287,59,NL,Policing and punishment across the domains of social evolution,"Singh, M. and Boomsma, J.J.","(Singh and Boomsma, 2015)",Review,Review,Intraspecific,Intra-specific (within population),"Individuals, Caste",Intraspecific,competition-cooperation,Competition-cooperation,Competition-cooperation,Oikos,124,8,971-982,2015,10.1111/oik.02064,44137.10762,NL,"many (eusocial insects, primates, fish, etc.) , but special glance on eusocial hymenoptera",Hymenopterans (Insecta); humans (Homo sapiens),"behavioural phenotype (punishment, oophagy)",e.g. hymenoptera (Harpagoxenus sublaevis),relatedness,NA,yes.1. punishment for the great good is dependent on the individual relatedness of sterile workers to the queen 2. Drone-producing workers should only eat each others eggs when the queen has little coecive power,Mutualistic to antagonistic,"relatedness, Behaviour of the queen","Benefits of the greater good (e.g. reduced reproductive conflict, increasing help)","Review of mechanisms that control non-cooperative phenotypes in social interactions, focusing on socially grouping species generally, including Hymenopteran insects and humans","maybe, but eusociality is a special case I guess, because all members of one caste share the same interests",,"mutualism is not mentioned, but plays a role in eusociality",Maybe,,NM,Include,,"Following reviewer reasoning, considering individuals in eusocial populations to show variation in selfishness-cooperation in interactions with their community",Coop-comp,y,y
MA405,60,UE,Variation in individual investment strategies among social animals,"Komdeur, J.","(Komdeur, 2006)",Review,Review,Intraspecific,"Intra-specific (within population), Intra-specific (between populations)","Individuals, Populations, Species",Intraspecific,competition-cooperation,"Male-female, Competition-cooperation, communal/social breeding/cooperation",Male-female; Parent-offspring; Competition-cooperation,Ethology,112,8,729-747,2006,10.1111/j.1439-0310.2006.01243.x,43953.94575,UE,"Microtus (2 species, prairie vole, mountain vole)",various species,"long allele variants were more social, more pair-bonding (both within species and between species comparisson)",Microtus (prairie vole vs. mountain voles),"yes, allele variants (longer alleles more social)",NA,potentially shift from less social to more social,neutral to more social,not mentioned in this review paper,not mentioned,"Review discusses variation in cooperation-conflict in cooperatively breeding animals, including in intergenerational (parent-offspring), intersexual (male-female), and inter- and intra- group conflict, and the influence of individual behavioural trait variability, environment factors, kin selection etc.","Yes: individual differences matter, and may have different origin",good arguments against the optimality approach: there might not be selection for facultative decisions,NA,Yes,,NM,Include,,"Agree with reviewer decision, cooperation is presented in the context of sexual conflict","Coop-comp, Par-off",y,y
MA337,61,PT,Social network theory: new insights and issues for behavioral ecologists,"Sih, Andrew and Hanser, Sean F. and McHugh, Katherine A.","(Sih et al., 2009)",Review,Review,Modelling,Intra-specific (within population),Individuals,Intraspecific,n/a,Competition-cooperation,Competition-cooperation,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,63,7,975-988,2009,10.1007/s00265-009-0725-6,44075.1374,PT,n/a,NA,Group size and network structure,n/a,No,NA,Somewhat.,Depends which way the numbers are shifting,Group size & network structure,Whether the group is cooperative,"Theoretical review applying social network theory to behavioural ecology, suggesting individual differences in social experience, social importance and indirect social effects are relevant to understanding cooperation-competition within groups","Yes, though it's not a very strong one.","The paper is not a particularly useful one.  It basically says, ""Hey, social network theory might be useful for looking at various things in behavioural ecology; (e.g., cooperation, mate-choice, predator-prey interactions, etc).  So our paper shouldn't make much use of this, but could briefly refer to what's on p980 of it.","It's really just a quick pointer to other studies, rather than particularly useful in and of itself.",Yes,,NM,Include,,Agree with reviewer decision,Coop-comp,y,y
MA320,62,BC,"Sexual conflict, ecology, and breeding systems in shorebirds","Szkely, T. and Thomas, G.H. and Cuthill, I.C.","(Székely et al., 2006)","Experimental, Review",Review,Intraspecific,Intra-specific (within population),Individuals,Intraspecific,male-female,Male-female,Male-female,BioScience,56,10,801-808,2006,10.1641/0006-3568(2006)56[801:SCEABS]2.0.CO;2,12/17/2019 15:34:06,BC,,Kentish plover (Charadrius alexandrinus),brooding / care of young,Kentish plover,no,NA,not within an individual,,adult sex ratio,possibility to remate,"Review discusses variation along the male-female conflict-cooperation continuum, and factors that may be associated with that variation, with a focus on the Kentish plover (Charadrius alexandrinus)","yes niche choice, conformance ",it is a review summarizing multiple papers of the authors,it is not clear whether the trait varies among individuals only or within an individual,Maybe,"There is no shift in the quality of the interaction, as mentioned above not clear whether there is a trait shift within an individual",NM,Include,,"Considering the 'ability to find a mate' as the trait that varies (conspicuously between males and females here), that shifts the level of cooperation-conflict on the individuals within a pair","Male-fem, Par-off",y,y
MA271,63,CF,Parental care: Adjustments to conflict and cooperation,"Trillmich, F.","(Trillmich, 2010)",Review,Review,Intraspecific,Intra-specific (within population),NA,Intraspecific,parent-offspring,Male-female,Male-female; Parent-offspring,Animal Behaviour: Evolution and Mechanisms,NA,NA,267-298,2010,10.1007/978-3-642-02624-9_10,3/28/2020 21:40:53,CF,Review of parental care in mostly mammals,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chapter addresses within-species variation in parental care, and trait- and state-based variation that shift the balance of male-female and parent-offspring interactions between cooperation and conflict",NA,NA,"This was actually a chapter, so I only had access to the first two pages. It seems the chapter was concered with the shift in cooperation and conflict though in parental care. I guess we could ask Fritz Trillmich for a copy of the chapter, but hard to say how much individuality there is in that chapter as it sounded like a species-level comparison to me. ",Maybe,Full-text not accessible/not in English or German,NM,Include,,"Fulltext located, chapter addresses within-species variation in trait-state that shift male-female and parent offspring interactions","Male-fem, Par-off",y,y
MA215,64,CF,Intra- and Intersexual Conflicts and Cooperation in the Evolution of Mating Strategies: Lessons Learnt From Ungulates,"Bro-Jrgensen, J.","(Bro-Jørgensen, 2010)",Review,Review,Intraspecific,Intra-specific (within population),"Individuals, Populations",Intraspecific,male-female,"Male-female, Competition-cooperation",Male-female; Competition-cooperation,Evolutionary Biology,38,1,28-41,2011,10.1007/s11692-010-9105-4,43893.85859,MW,Focus on various ungulate species,Ungulates (clade Ungulata),"Discusses various traits, but most relevant is male competitive ability and attractiveness ",ungulates,"Not much discussed, but mentions good-genes benefits of female mate choice.",NA,"Yes, discusses cases where male-female, male-male, or female-female interactions are competitive or cooperative.",Depends,"e.g. resource dispersion, predation risk",NA,"Review discusses cases where male-female, male-male, or female-female interactions are competitive or cooperative, including the role of male competitive ability and ecological conditions, with a focus on various ungulate species","Relation to variation in mating strategies within species, social niches.","Important insights: ""Variation in male competitive ability promotes female choosiness, which can enhance sexual conflicts with non-preferred males but promote cooperation with preferred males."" Formation of leks represents cooperation within and between sexes. The shift between conflict and cooperation is mostly between individuals, but one can also argue that the evolution of lekking represents a shift of the whole population.",NA,Yes,,NM,Include,,Agree with reviewer decision,Male-fem,y,y
MA263,65,UE,On the reorganization of fitness during evolutionary transitions in individuality,"Michod, RE and Nedelcu, AM","(Michod and Nedelcu, 2003)",Review,Review,Intraspecific,"Inter-specific (2 species), Intra-specific (within population)","Individuals, I am not sure",Inter- and Intraspecific,competition-cooperation,Competition-cooperation,Competition-cooperation,INTEGRATIVE AND COMPARATIVE BIOLOGY,43,1,64-73,2003,10.1093/icb/43.1.64,43984.3827,UE,"e.g. origin of eukaryotic cell; green algae group, Volvocales (e.g. Volvox)",Volvocales (order Chlamydomonadales),I am not sure,predessesors of eukayotic cells,no,NA,"""even if the groups initially form via antagonistic interactions, as may have been the case during the origin of the eukaryotic cell (e.g., (Maynard Smith and Szathma´ry, 1995; Michod and Nedelcu, 2003)""",Antagonistic to mutualistic,I do not know,"creating og higher order units, e.g. eukaryots, or multicellularity (or even higher units)","Review of cooperative-competitive interactions in transitions from solitary cells to collective groups, including the role of mutation and deleterious phenotypes in the emergence of higher level units of selection, with a focus on Volvocales algae (order Chlamydomonadales)",Shift from antagonism to cooperation at the origin from Eukaryots,,no clear trait,Yes,,NM,Include,,Agree with reviewer decision,Modelling,y,y
MA77,66,NM,Cooperation and Conflict in the Evolution of Individuality. I. Multilevel Selection of the Organism,"Michod, RE","(Michod, 1997)",Modelling/theory,Modelling/theory,Modelling,"Between cells (suggests results are applicable across scales, 'from solitary organisms to societies')",Within-Individual,Inter- and Intraspecific,n/a,Competition-cooperation,Competition-cooperation,AMERICAN NATURALIST,149,4,607-645,1997,10.1086/286012,1/22/2020 2:04:51,NM,NA (designed based on single cell interactions),NA,"NA (no separate individual, so no trait variation)",NA,implies that cells have a heritable level of among-cell cooperation,NA,Not between organisms (only by analogy),Antagonistic to mutualistic,,,,,,,No,"There is no evidence of trait variation, No trait variation between individuals (variation is within-individual)",MW,Include,,"Conflicting decision made [NM: We have included some other similar papers from Michod and others (MA43, MA73, MA263), although I initially excluded this one because the focus is on cellular conflict within an oraganism. It says that the findings are transferable across scales, so guess it could be included, but is a bit more of a stretch than the others. MW: If we are not excluding papers on transitions from unicellularity to multicellularity in principle, I would include this one. Before the cells really become an organism, variation between them is variation between individuals.]",Modelling,y,y
non-systematic,67,NA,The genetical evolution of social behaviour. I,"Hamilton, W. D. ","(Hamilton, 1964)",NA,Modelling/theory,NA,NA,NA,Intraspecific,,,Competition-cooperation,Journal of Theoretical Biology,7,,1–16,1964,10.1016/0022-5193(64)90038-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,Include,,Non-systematically sources article,Modelling,,y
MA217,68,KJB,Intra-group relatedness affects parental and helper investment rules in offspring care,"Savage, J.L. and Russell, A.F. and Johnstone, R.A.","(Savage et al., 2013)",Modelling/theory,Modelling/theory,Modelling,Intra-specific (within population),Individuals,Intraspecific,n/a,Cooperative breeding,Male-female; Competition-cooperation,Behavioral Ecology and Sociobiology,67,11,1855-1865,2013,10.1007/s00265-013-1595-5,2/27/2020 2:21:23,KJB,NA,NA,Investment in offspring rearing,NA,No (but relatedness between individuals is considered as a factor affecting optimal investment),NA,"Somewhat, it shows different degrees of helper investment in offspring rearing.",Depends on what direction relatedness moves,social,Total number of offspring produced,,"Somewhat, dominant and helpers fulfill different roles in the group. Also, individuals are expected to invest more or less depending on their relatedness (and the variation in relatedness in the group)",No,No,Maybe,There is no evidence of trait variation,NM,Include,,"Considering the degree of relatedness as the level of genetic (and phenotypic) variation within a group, in the context of cooperation-conflict in group breeding context",Modelling,y,y
MA204,69,KJB,Inducible defence and the social evolution of herd immunity,"Frank, SA","(Frank, 1998)",Modelling/theory,Modelling/theory,Modelling,Intra-specific (within population),"Individuals, Populations",Intraspecific,n/a,Competition-cooperation,Competition-cooperation,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,265,1408,1911-1913,1998,10.1098/rspb.1998.0519,43923.08721,KJB,NA,NA,Relatedness,Focal species,"No, but relatedness is a parameter in the model.",NA,"Yes, but it's a shift between populations w.r.t. their parameter values, not within one population over time",Antagonistic to mutualistic,"Relatedness. Furthermore, in a final model, variable resources lead to more individual  variation in defence allocation",NA,,"Especially in the variable resource set up there are differences in vigour, leading to differential inversment in induction.",The model is very similar to Frank (1996) [MA286].,"The connection to our review is hard to see, but does seem to be present (requires interpretation though).",Yes,,NM,Include,,Agree with reviewer decision,Modelling,y,y
MA127,70,MW,Evolution Of Helping And Harming In Heterogeneous Groups,"Rodrigues, A.M.M. and Gardner, A.","(Rodrigues and Gardner, 2013)",Modelling/theory,Modelling/theory,Modelling,"Intra-specific (within population), Intra-specific (between populations)","Individuals, Populations",Intraspecific,n/a,Competition-cooperation,Competition-cooperation,Evolution,67,8,2284-2298,2013,10.1111/evo.12110,43567.13624,MW,"General model, mentions slime moulds and social wasps as potential empirical examples",NA,fecundity,NA,"assumed to be non-genetic, non-heritable",NA,"They show that the amount of variation in fecundity can change the potential for helping and harming behaviors. Interestingly, variation in fecundity can also increase relatedness within local neighbourhoods and thereby promote cooperation.",both directions potentially possible,"spatial structure (degree of local competition, migration rate), whether or not individuals can conditionally help high-quality or low-quality individuals",not discussed,,"the conditional helping or harming can be interpreted as social niche conformance, they also mention that the mechanisms they describe can reinforce variation in fecundity because the low-quality individuals are selected to give up more of their fecundity to help others",NA,I am not sure I understood everything because the paper was not very clearly written in my opinion.,Yes,,NM,Include,,Agree with reviewer decision,Modelling,,y
MA338,71,PT,Socially mediated speciation,"Hochberg, ME and Sinervo, B and Brown, SP","(Hochberg et al., 2003)",Modelling/theory,Modelling/theory,Modelling,"Intra-specific (within population), Intra-specific (between populations)","Individuals, Populations",Intraspecific,n/a,Competition-cooperation,Competition-cooperation,EVOLUTION,57,1,154-158,2003,10.1554/0014-3820(2003)057{[}0154:SMS]2.0.CO;2,44075.22523,PT,n/a,NA,behavioural phenotype,n/a,No,NA,"Yes, though it's more about the emergence of mutualism than antogonism.",Model; simply depends on values.,Social discrimination (which in turn depends on variability in the population),"Emergence of social grouping (into 'tribes', as the authors put it).",,Yes.,,I'd not particularly say it was about antagnism -- but a useful model nonetheless.,Yes,,NM,Include,,"Agree with reviewer decision, spite/selfishness in social interactions sufficient to show interactions are considered along a m-a continuum",Modelling,y,y
MA124,72,NM,Evolution of culture-dependent discriminate sociality: A gene-culture coevolutionary model,"Ihara, Y.","(Ihara, 2011)",Modelling/theory,Modelling/theory,Modelling,Intra-specific (within population),Individuals,Intraspecific,n/a,"Competition-cooperation, Social interactions between conspecifics",Competition-cooperation,Philosophical Transactions of the Royal Society B: Biological Sciences,366,1566,889-900,2011,10.1098/rstb.2010.0247,1/17/2020 0:25:23,NM,NA (based on human cultural traits),human (Homo sapiens),"Cultural traits (they cite such as personal ornaments, languages, rituals, etc. but within the model it is not specified)",NA (but intended to be human),"Not necessarily inherited traits (although the model is about that), can be transmitted vertically and horizontally with conspecifics",NA,"Yes, possession of an arbitrary trait leads to cooperation, not having the trait leads to competition","Mutualistic to antagonistic, Antagonistic to mutualistic",Cultural differences,Resource allocation and segregation within socially interacting networks,,Maintenance and evolution of novel individual behavioural traits,Gene-culture co-evolutionary model,"Issue is that it is based on human traits, but the principles should apply generally to species capable of displaying cultural traits.",Maybe,Humans as a study subject (note: this is currently being treated as an exclusion criteria),MW,Include,,"Resolved maybe [NM: This should now be includable because it is a model that may apply to non-human species, MW: Agreed. Sounds very relevant.]",Modelling,y,y
non-systematic,73,NA,Variation in behaviour promotes cooperation in the Prisoner's Dilemma game,"McNamara, J. M., Barta, Z., & Houston, A. I.","(McNamara el at., 2004)",NA,Modelling/theory,NA,NA,NA,Intraspecific,,,Competition-cooperation,Nature,428,6984,745--748,2004,10.1038/nature02432,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,Include,,Non-systematically sources article,Modelling,y,y
MA201,74,PT,Individual variation behind the evolution of cooperation,"Barta, Zoltan","(Barta, 2016)",Review,"Review, Modelling/theory",Modelling,Intra-specific (within population),"Individuals, Populations",Intraspecific,n/a,"Competition-cooperation, Review of different routes to evolution of cooperation",Male-female; Parent-offspring; Competition-cooperation,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,371,1687,NA,2016,10.1098/rstb.2015.0087,12/13/2019 5:59:19,PT,n/a,NA,"Various: variation in potential to remain in the interaction, variation in state, parental care decisions (alternate vs sequential), uncertainty over partner's state, etc.",The focal species,No.,NA,Not really -- it's about the cooperations spectrum rather than antagonism per se.,"Review mainly of theory, so both ways (but just wrt cooperation)","ecological, abiotic, social, mutational",It's focused on cooperation rather than identifying other (ecological) impacts,"Review of the role of individual variation in the evolution and maintenance of cooperative interactions, in the context of individual cost-to-benefit analysis, including social interactions and parental care interactions",To some degree,,Mainly just the concern that it's about cooperation; not about antagonism,Maybe,Not about the antagonism part; just about evol of cooperation.,NM,Include,,"Considering it sufficent to be referring to cooperation as evoluing in the context of competition based natural selection, to be considered on the competition-cooperation continuum",Modelling,y,
MA372,75,MW,The evolution of cooperation by negotiation in a noisy world,"Ito, K. and McNamara, J. M. and Yamauchi, A. and Higginson, A. D.","(Ito et al., 2017)",Modelling/theory,Modelling/theory,Modelling,Intra-specific (within population),Populations,Intraspecific,n/a,Competition-cooperation,Competition-cooperation,JOURNAL OF EVOLUTIONARY BIOLOGY,30,3,603-615,2017,10.1111/jeb.13030,43891.00285,MW,NA,NA,investment in an interaction (and/or perception of the investment of the other individual),NA,"Here it is assumed that variation is due to noise, i.e. individuals making errors. The variation is non-heritable.",NA,Not so clear that there is a shift in response to variation or here the distribution of the errors individuals make.,depends,curvature of cost and benefit functions,NA,,,They write that variation due to errors is in many ways qualitatively analogous to variation in individual quality.,"""Under most conditions the magnitude of error has no influence on the evolutionary outcome"". More specifially, they show that the singular solution does not depend on the magnitude of error, but the convergence stability might. In any case, this is not an example of a very clear shift caused by variation.",Maybe,There is no shift in the quality of the interaction,NM,Include,,Considered variation in negotiation or level of noise changes the viability of a free-riding (antagonism) versus a cooperative strategy,Modelling,y,
MA62,76,NM,Competition versus cooperation: success of individuals foraging alone and in groups,"RANTA, E and RITA, H and LINDSTROM, K","(Ranta et al., 1993)",Modelling/theory,Modelling/theory,Modelling,Intra-specific (within population),Individuals,Intraspecific,n/a,"Competition-cooperation, Cooperation in group foraging behaviour",Competition-cooperation,AMERICAN NATURALIST,142,1,42-58,1993,10.1086/285528,11/15/2019 14:10:29,NM,NA (based on the behaviour of the three-spined stickleback (Gasterosteus aculeatus)),three-spined stickleback (Gasterosteus aculeatus),Social rank within the group using the probability of an individual's being among the ones sharing the food in a patch found by the group (also termed competitive ability);,"NA (general, modelling)",NA,NA,"Yes, decrease in social status reduced the benefits of cooperation and pushes individual towards more solitary behaviour",Mutualistic to antagonistic,Variation in the individual benefits of group foraging for the individual,"Collective behaviour, within-population foraging dynamics",,Shows factors the drive behaviour in a group towards greater individualization and niche differentiation.,Information-sharing model,No,Yes,,MW,Include,,Agree with reviewer decision,Modelling,y,y
MA245,77,PT,Modelling the co-evolution of indirect genetic effects and inherited variability,"Marjanovic, Jovana and Mulder, Han A. and Ronnegard, Lars and Bijma, Piter","(Marjanovic et al., 2018)",Modelling/theory,Modelling/theory,Modelling,Intra-specific (within population),"Individuals, Populations",Intraspecific,n/a,Competition-cooperation,Competition-cooperation,HEREDITY,121,6,631-647,2018,10.1038/s41437-018-0068-z,44044.41459,PT,N/A,NA,Variability influences cooperation level (which is an evolving genetic trait),N/A,"Not really, it's all theory (though mentions speices occasionally to keep readers interested).",NA,"Yes.  Though it's sort of interesting as the mutualism (or cooperation) level is set genetically for an individual and responds to surroundings, but will also evolve over time (which is a different type of 'shift' in the interaction over time).",Depends on what's happening with variability,Social (level of variability feeds back to influence success of a type),"The variability in the population (e.g., variation in growth rates) and the level of cooperation within it.",,"Yes, relates to niches.",,"No, I think it's ok to include in the review.",Yes,,NM,Include,,Agree with reviewer decision,Modelling,y,
MA205,78,MW,Information use and resource competition: An integrative framework,"Lee, A.E.G. and Ounsley, J.P. and Coulson, T. and Marcus Rowcliffe, J. and Cowlishaw, G.","(Lee et al., 2016)",Modelling/theory,Modelling/theory,Modelling,Intra-specific (within population),"Individuals, Populations",Intraspecific,n/a,Competition-cooperation,Competition-cooperation,Proceedings of the Royal Society B: Biological Sciences,283,1825,NA,2016,10.1098/rspb.2015.2550,11/29/2019 20:55:47,MW,,NA,competitive dominance,,"Not relevant for this model, since a short time scale is considered.",NA,"Yes, in the sense that there are strong shifts in the frequency of scroungers vs. producers.","Mutualistic to antagonistic, Antagonistic to mutualistic",Anything that would affect the monopolizability of resource patches. Resource scarcity and rate of depletion are also important factors.,"They discuss consequences for population dynamics. If more individuals produce, the total resource discovery in the population increases and populations may grow faster, whereas scrounging may reduce population growth rates.",,Interesting aspect with regard to maintenance of trait variation: variation in competitive ability also influences the maintenance of individual differences in the producer-scrounger behaviour.,"The impact of variation in competitive dominance is determined by the monopolizability parameter c. A change in this parameter can strongly change the proportion of scroungers in the population (see Figs. 1 and 2). For example, strong differences in competitive ability can make scrounging unattractive for most individuals because the most competitive ones would take most of the resources.","While scrounging is antagonistic, producing may not be strictly mutualistic. But I think it is sufficiently neutral/positive to make this an interesting paper to include.",Yes,,NM,Include,,Agree with reviewer decision,Modelling,y,y
